,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,0.0,1.5,0.0,0.7
1,0.0,5.3,0.0,0.1
2,0.0,2.7,0.0,0.5
3,0.0,9.1,0.0,0.4
4,0.0,7.1,0.0,0.5
5,0.0,6.3,0.0,1.0
6,0.0,3.5,0.0,1.4
7,0.0,4.5,0.0,0.4
8,0.0,1.4,0.0,0.5
9,0.0,9.5,0.0,0.5
10,0.0,4.6,0.0,0.4
11,0.0,28.3,0.0,0.5
12,0.0,5.1,0.0,0.3
13,0.0,7.6,0.0,0.1
14,0.0,5.1,0.0,0.1
15,0.0,0.9,0.0,0.0
16,0.0,10.1,0.0,1.6
17,0.0,8.1,0.0,2.5
18,0.0,6.5,0.0,1.7
19,0.0,8.0,0.0,1.0
20,0.0,0.0,0.0,0.9
21,0.0,1.8,0.0,0.7
22,0.0,2.9,0.0,0.7
23,0.0,53.7,0.0,1.0
24,0.0,60.2,0.0,0.9
25,0.0,40.0,0.0,1.0
26,0.0,39.5,0.0,0.6
27,0.0,51.2,0.0,1.0
28,0.0,32.3,0.0,0.7
29,0.0,23.6,0.0,0.5
30,0.0,19.7,0.0,1.7
31,0.0,33.9,0.0,0.6
32,0.0,126.4,0.0,0.4
33,0.0,100.7,0.0,0.5
34,0.0,47.0,0.0,0.9
35,0.0,34.0,0.0,5.9
36,0.0,33.5,0.0,3.9
37,0.0,49.2,0.0,0.5
38,0.0,52.5,0.0,0.5
39,0.0,33.4,0.0,14.0
40,523.0,200.5,36.35,219.3
41,805.0,353.7,352.88,319.7
42,589.7,323.8,825.6,319.6
43,589.5,308.0,490.63,275.8
44,576.9,245.1,127.98,297.6
45,576.2,228.9,40.02,325.9
46,545.8,184.3,39.13,338.1
47,540.2,255.7,38.52,359.9
48,524.1,255.2,39.43,296.2
49,542.9,216.7,36.2,263.1
50,544.2,183.7,34.15,218.7
51,537.7,161.5,33.31,202.3
52,489.4,128.2,32.65,196.4
53,548.0,132.3,34.44,181.6
54,1014.9,111.9,35.27,160.0
55,489.2,105.3,23.08,62.7
56,0.0,0.2,0.0,19.4
57,0.0,0.6,0.0,23.9
58,0.0,2.7,0.0,21.1
59,0.0,1.2,0.0,0.0
60,0.0,0.1,0.0,0.0
61,0.0,3.6,0.0,0.0
62,0.0,0.5,0.0,0.0
63,0.0,1.9,0.0,0.0
64,0.0,1.2,0.0,1.5
65,0.0,4.6,0.0,4.9
66,0.0,3.8,0.0,4.8
67,0.0,1.5,0.0,2.4
68,0.0,0.5,0.0,0.8
69,0.0,5.9,0.0,0.7
70,0.0,22.5,0.0,0.4
71,0.0,24.9,0.0,0.5
72,0.0,5.4,0.0,0.5
73,0.0,9.3,0.0,0.6
74,0.0,18.2,0.0,0.3
75,0.0,6.1,0.0,0.6
76,0.0,0.4,0.0,0.7
77,0.0,4.6,0.0,0.5
78,0.0,2.6,0.0,0.6
79,0.0,1.4,0.0,0.6
80,0.0,0.8,0.0,0.4
81,0.0,8.0,0.0,0.5
82,0.0,1.6,0.0,0.5
83,0.0,4.0,0.0,0.9
84,0.0,4.4,0.0,0.6
85,0.0,2.6,0.0,0.5
86,0.0,0.9,0.0,0.3
87,0.0,0.7,0.0,0.4
88,482.9,108.8,30.51,185.1
89,1221.0,112.2,61.4,159.0
90,521.4,100.1,33.14,167.5
91,1165.6,84.5,31.74,164.1
92,519.7,101.5,31.9,165.9
93,1185.6,114.5,33.33,172.6
94,532.1,169.1,33.57,186.5
95,479.9,210.9,30.28,259.6
96,478.7,200.2,30.27,286.4
97,484.9,198.6,31.83,305.8
98,0.0,203.9,32.5,313.2
99,492.1,203.9,32.52,306.9
100,492.8,198.9,32.56,296.0
101,477.6,210.0,32.68,267.3
102,1390.1,254.5,36.13,310.1
103,548.5,228.7,34.64,238.1
104,0.0,158.0,0.02,94.2
105,0.0,149.9,0.02,86.7
106,0.0,138.4,0.02,89.6
107,0.0,142.9,0.02,95.0
108,1269.6,154.6,0.02,99.0
109,0.0,166.1,0.02,96.4
110,0.0,200.4,0.02,95.4
111,0.0,174.8,0.02,113.6
112,474.2,216.6,29.65,234.1
