,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,561.1,317.1,33.28,233.0
1,559.9,315.7,33.06,239.9
2,559.1,322.4,33.02,237.2
3,536.5,333.8,32.99,231.6
4,571.3,322.6,32.98,225.6
5,571.7,255.1,33.14,224.0
6,537.3,334.8,33.16,225.0
7,0.0,30.3,1.59,63.6
8,0.0,15.3,1.53,51.4
9,0.0,10.9,1.6,48.5
10,0.0,11.0,1.6,50.9
11,0.0,10.8,1.6,52.1
12,0.0,11.5,1.6,51.1
13,0.0,11.1,1.45,48.6
14,0.0,12.3,1.6,46.1
15,1628.1,31.1,34.07,135.1
16,621.8,96.9,34.45,131.1
17,626.0,92.6,34.68,101.6
18,627.1,95.7,34.74,105.9
19,636.1,95.4,34.71,109.3
20,1498.4,94.2,34.66,105.5
21,578.7,121.6,33.01,122.6
22,576.6,130.6,32.89,119.1
23,574.3,174.7,32.76,148.4
24,572.3,200.4,32.65,156.8
25,571.3,206.3,32.6,164.3
26,570.8,179.4,32.57,170.2
27,570.7,170.3,32.56,170.9
28,571.1,187.6,32.59,162.2
29,572.2,92.8,32.65,156.7
30,573.8,103.1,32.74,168.3
31,1277.9,21.3,26.8,75.9
32,1180.5,19.7,26.36,59.4
33,1217.2,19.9,26.91,58.1
34,1291.1,18.6,26.95,56.4
35,1233.9,17.6,26.97,57.0
36,1261.1,24.3,26.96,56.2
37,1225.3,19.6,26.94,55.6
38,1213.0,19.0,26.95,61.2
39,578.3,51.6,32.99,117.8
40,579.7,125.7,33.39,103.9
41,583.8,122.3,33.63,108.0
42,1505.5,113.9,33.31,108.7
43,582.4,130.2,33.23,123.5
44,581.2,120.3,33.16,126.7
45,624.9,155.6,32.91,151.8
46,1419.7,150.7,32.77,159.6
47,1413.4,231.5,32.62,169.5
48,1409.2,245.1,32.52,175.5
49,1407.0,249.6,32.47,182.3
50,1406.0,255.9,32.32,181.9
51,1406.0,248.6,32.45,179.6
52,1407.9,232.1,32.49,169.8
53,1412.7,176.9,32.6,150.2
54,1463.2,199.7,32.78,147.1
55,469.1,48.5,29.4,76.4
56,1222.8,20.3,26.47,48.2
57,476.3,19.0,26.49,47.1
58,1231.0,19.2,26.51,50.1
59,1231.2,19.9,26.52,50.6
60,1291.7,19.8,26.51,49.1
61,1157.4,19.7,25.16,46.6
62,1230.0,20.4,26.51,48.4
63,1428.4,85.2,32.97,144.4
64,1509.3,110.8,33.02,119.7
65,1497.6,106.2,33.24,115.1
66,1570.9,104.8,33.23,116.5
67,1514.9,108.4,33.15,118.1
68,595.1,123.0,33.07,123.8
69,529.7,115.4,32.1,121.3
70,480.3,167.2,31.95,123.9
71,526.0,262.3,31.69,128.0
72,1411.7,295.8,31.34,141.7
73,476.2,307.5,31.29,147.1
74,475.8,321.3,31.26,148.4
75,475.8,297.0,31.26,147.8
76,476.4,272.9,31.3,142.3
77,524.8,196.7,31.75,125.2
78,480.6,150.6,31.97,119.5
79,1241.6,83.0,27.86,65.0
80,1223.7,21.5,27.15,45.8
81,1291.3,18.4,27.16,44.6
82,1292.0,19.1,27.17,46.4
83,536.9,20.2,27.18,47.9
84,1230.8,19.1,27.18,46.8
85,1242.7,19.1,26.99,42.0
86,1276.9,19.5,27.18,44.3
87,530.5,58.5,32.15,95.3
88,546.4,122.4,32.2,95.0
89,585.5,99.3,33.25,130.9
90,549.4,98.5,32.38,109.9
91,485.3,98.1,32.28,111.2
92,546.5,101.1,32.21,125.7
93,599.0,95.4,33.82,160.7
94,530.3,94.7,33.66,179.2
95,1502.1,140.9,33.53,229.9
96,538.4,193.7,33.23,234.7
97,563.3,210.8,32.65,229.0
98,562.8,232.6,32.29,235.0
99,537.5,183.0,32.77,239.0
100,549.9,117.6,33.39,224.1
101,551.8,98.6,33.5,184.2
102,549.4,100.2,33.68,173.5
103,481.0,52.9,29.72,123.7
104,1209.2,20.5,22.7,68.7
105,479.3,39.7,22.72,66.8
106,481.9,53.6,22.72,68.6
107,482.1,39.7,22.73,71.4
108,479.7,30.9,19.01,68.8
109,618.6,14.7,1.49,67.6
110,10.2,31.8,9.57,64.0
111,545.3,64.7,32.49,155.2
112,594.6,101.3,33.91,148.6
113,591.8,100.6,34.11,148.2
114,550.6,99.2,34.09,148.5
115,573.9,96.8,34.0,151.1
116,553.3,100.0,33.92,167.6
117,586.9,112.4,35.15,183.0
118,570.9,115.5,34.99,198.5
119,1620.1,151.1,34.72,217.0
120,520.5,157.2,33.72,219.8
121,1546.7,180.2,33.66,222.5
122,572.2,202.2,33.63,225.3
123,567.0,179.5,33.63,227.1
