,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,476.3,463.2,18.03,469.2
1,472.1,430.8,17.14,339.8
2,465.0,429.1,15.08,289.6
3,464.5,422.8,15.06,296.2
4,464.3,421.2,15.05,298.0
5,464.3,426.8,15.05,298.7
6,464.8,418.2,16.96,292.4
7,471.6,424.6,17.12,343.9
8,465.9,334.2,14.55,266.6
9,467.2,327.9,14.59,251.6
10,468.6,345.0,14.63,237.5
11,469.7,342.6,14.66,228.4
12,470.9,339.0,14.7,219.6
13,471.1,331.9,14.71,216.4
14,471.1,309.0,14.71,216.5
15,471.3,312.8,14.67,222.6
16,486.8,416.0,18.27,408.7
17,488.2,402.4,18.49,395.5
18,487.2,426.1,18.55,375.5
19,498.5,431.8,18.56,369.9
20,486.7,416.6,18.53,382.5
21,486.5,426.5,18.48,397.5
22,486.5,423.0,18.27,414.6
23,484.7,426.8,18.19,441.9
24,490.5,416.9,17.79,469.8
25,466.5,433.0,17.15,318.8
26,466.4,438.2,17.13,285.8
27,466.4,430.5,17.13,275.9
28,466.5,436.4,17.14,298.6
29,478.5,431.8,17.57,414.9
30,484.7,440.4,18.27,466.7
31,473.6,435.2,18.34,440.0
32,477.2,382.4,15.53,221.1
33,471.7,321.0,15.28,215.0
34,472.5,311.6,15.13,207.0
35,473.0,295.9,15.14,202.6
36,473.4,291.2,15.16,202.2
37,473.6,299.0,15.16,198.2
38,473.7,294.6,15.16,198.3
39,489.6,356.5,17.71,257.5
40,1239.5,584.1,28.3,369.2
41,701.1,588.6,35.08,373.6
42,700.6,581.4,35.35,371.9
43,0.0,593.1,34.91,388.8
44,398.5,600.9,34.77,407.4
45,397.7,633.8,34.69,418.6
46,0.0,645.4,34.58,430.0
47,395.5,678.5,34.5,441.2
48,647.5,671.6,33.66,453.6
49,566.0,665.0,33.61,459.0
50,534.0,655.9,33.6,460.3
51,505.4,671.0,33.61,459.2
52,1411.3,684.2,33.6,459.9
53,507.0,691.6,33.68,448.8
54,644.6,664.1,33.84,431.1
55,1138.6,685.2,34.16,424.5
56,601.3,568.4,26.89,390.8
57,529.3,420.1,23.34,379.1
58,529.1,421.8,23.43,380.6
59,1221.5,430.1,23.45,384.1
60,529.3,429.2,23.46,384.0
61,546.2,399.1,23.21,379.9
62,547.6,405.4,23.02,379.3
63,567.4,443.5,24.93,377.5
64,747.0,646.7,32.57,564.8
65,715.2,692.1,1910.09,572.8
66,716.6,674.0,1426.35,568.1
67,712.8,653.0,32.82,572.0
68,812.4,634.8,32.53,571.2
69,708.2,612.1,32.4,571.6
70,785.9,616.6,31.16,433.8
71,1214.1,602.3,28.0,422.9
72,546.6,575.9,23.69,437.0
73,545.6,562.4,23.65,448.9
74,545.2,552.7,23.63,454.6
75,545.0,560.0,23.62,453.8
76,544.9,566.5,23.62,458.3
77,546.0,592.2,23.67,444.1
78,1252.2,589.6,27.44,417.9
79,694.6,561.1,28.05,400.0
80,550.7,456.1,23.87,391.3
81,1174.5,429.2,23.82,392.1
82,1174.7,399.5,23.85,388.7
83,1236.2,378.9,23.8,389.0
84,1235.6,386.6,23.62,391.1
85,490.0,381.6,21.69,391.5
86,472.8,357.2,17.38,246.8
87,545.2,398.6,23.17,383.4
88,597.8,617.2,31.36,380.0
89,910.5,658.1,40.24,361.6
90,797.4,658.7,36.92,358.1
91,1437.9,616.0,31.37,381.2
92,0.0,600.9,31.25,400.7
93,0.0,601.1,31.17,414.1
94,1251.1,575.8,31.07,432.7
95,1227.8,559.5,27.08,452.7
96,1204.4,601.9,25.27,467.9
97,1203.3,598.0,25.24,469.9
98,1202.4,596.0,25.22,469.8
99,1310.7,610.6,26.84,469.8
100,1204.7,636.2,27.64,469.9
101,783.8,649.6,28.72,459.0
102,1241.3,612.0,29.16,431.7
103,1247.2,633.4,29.31,401.4
104,550.0,454.9,22.48,391.0
105,478.6,387.6,18.76,396.1
106,479.0,392.9,17.56,255.1
107,486.7,426.8,18.75,396.6
108,477.6,442.7,18.75,397.3
109,10.0,435.5,8.74,210.8
110,0.0,376.4,0.01,213.4
111,488.8,441.5,19.19,400.6
112,550.8,596.5,24.01,387.5
