,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,465.3,369.8,20.83,105.9
1,10.1,318.2,8.32,106.5
2,10.1,305.6,8.29,105.3
3,10.0,305.7,8.26,105.4
4,10.0,323.7,8.26,105.0
5,10.0,348.3,8.27,103.8
6,10.1,411.3,8.33,102.2
7,10.1,508.6,8.34,92.8
8,9.9,99.9,8.3,88.1
9,9.9,77.4,8.31,84.3
10,10.1,79.9,9.17,72.4
11,1208.6,74.3,21.59,69.9
12,1206.6,90.6,21.89,68.0
13,481.5,79.4,21.55,69.4
14,490.1,82.4,21.74,69.7
15,1278.5,267.9,24.38,82.3
16,572.1,435.0,27.17,125.9
17,1026.0,491.1,27.69,121.2
18,1318.8,517.5,27.65,138.7
19,573.2,537.5,27.16,176.7
20,1209.3,561.4,26.75,127.3
21,1271.8,553.6,25.85,112.0
22,1178.1,537.9,24.48,92.8
23,1205.5,561.4,22.17,91.5
24,1200.3,546.1,21.63,94.3
25,478.2,535.9,21.4,94.5
26,475.7,540.4,21.3,94.9
27,1148.1,609.4,22.28,73.1
28,1143.7,603.1,23.97,84.4
29,1185.6,551.8,25.8,154.8
30,560.7,477.0,26.64,190.9
31,551.2,298.7,26.77,199.4
32,488.2,63.3,26.14,175.5
33,554.6,30.9,26.74,162.4
34,626.9,19.9,27.07,160.2
35,1210.7,32.8,27.29,159.7
36,1316.6,24.8,27.15,166.8
37,558.4,18.6,27.01,154.7
38,559.2,29.5,27.78,160.7
39,1187.7,173.3,30.38,239.2
40,528.8,513.8,35.17,48.1
41,552.0,539.7,41.13,94.2
42,1248.5,526.9,63.98,96.4
43,1256.4,543.6,39.82,105.7
44,1241.6,562.1,36.76,111.8
45,1305.7,589.3,33.33,120.9
46,1195.3,682.8,30.95,88.4
47,608.8,722.2,29.27,78.7
48,545.0,747.8,28.79,265.8
49,552.8,686.2,28.42,252.7
50,1271.5,639.7,28.35,249.0
51,553.9,696.8,28.8,172.6
52,1183.3,635.7,30.84,118.6
53,1202.3,578.6,34.28,155.4
54,1277.8,560.6,36.06,166.8
55,572.3,446.8,32.43,146.2
56,1377.2,174.3,31.09,136.3
57,558.6,141.0,31.18,91.5
58,558.6,114.2,31.22,155.7
59,482.5,107.8,30.63,205.4
60,555.5,91.9,29.57,223.6
61,547.9,84.2,29.03,224.4
62,1217.3,78.2,29.62,225.5
63,570.9,273.0,32.68,231.4
64,800.8,538.2,36.53,167.1
65,912.9,690.0,67.75,164.9
66,894.6,690.7,47.75,166.4
67,619.0,494.3,36.97,204.6
68,558.3,551.8,31.45,154.6
69,1054.9,525.5,29.12,142.1
