,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,0.0,105.4,0.0,1.3
1,0.0,100.6,0.0,1.3
2,0.0,113.6,0.0,1.3
3,0.0,229.1,0.0,1.3
4,0.0,131.9,0.0,1.3
5,0.0,128.9,0.0,1.3
6,0.0,152.0,0.0,1.3
7,0.0,121.6,0.0,1.2
8,0.0,66.8,0.0,1.2
9,0.0,66.6,0.0,1.2
10,0.0,76.6,0.0,1.2
11,0.0,59.2,0.0,1.1
12,0.0,64.4,0.0,1.1
13,0.0,60.8,0.0,1.1
14,0.0,58.1,0.0,1.1
15,9.9,71.1,8.26,1.1
16,10.0,63.4,8.57,1.1
17,1127.6,74.5,10.42,1.1
18,10.2,69.0,8.77,1.1
19,10.2,77.2,8.74,1.0
20,10.3,71.0,8.58,1.1
21,10.0,73.1,8.56,1.1
22,10.0,65.2,8.38,1.1
23,0.0,62.6,1.55,1.1
24,0.0,59.8,1.3,1.2
25,0.0,57.1,1.3,1.2
26,0.0,65.7,1.3,1.2
27,0.0,65.7,1.3,1.2
28,0.0,68.1,1.3,1.2
29,10.0,114.0,8.35,1.2
30,494.7,127.4,16.41,1.2
31,484.9,111.0,19.15,1.5
32,481.8,55.1,13.72,1.2
33,497.3,54.9,13.73,1.1
34,10.2,54.7,8.72,1.1
35,497.9,55.6,16.24,1.3
36,497.7,56.3,16.23,1.4
37,497.4,53.0,13.79,1.1
38,497.0,47.9,13.76,1.3
39,553.5,51.1,24.21,8.3
40,580.1,151.4,32.47,46.7
41,1344.4,88.8,61.71,38.5
42,831.0,100.1,61.64,38.5
43,1327.4,120.1,34.2,43.0
44,831.4,124.4,33.89,39.5
45,1200.8,141.7,32.31,48.0
46,1254.7,153.6,30.85,40.9
47,1269.5,282.5,30.31,78.6
48,651.9,309.9,28.59,46.4
49,1242.1,283.4,28.15,45.4
50,650.7,238.4,27.97,42.7
51,1261.0,231.7,28.53,40.5
52,549.1,141.5,29.51,15.9
53,625.9,128.5,32.97,1.1
54,1433.4,80.5,32.88,1.1
55,625.7,112.3,27.61,1.0
56,542.5,69.8,24.87,1.0
57,530.4,64.6,24.47,1.0
58,530.3,68.0,24.47,1.0
59,1193.8,65.7,24.46,1.0
60,588.8,60.1,24.05,1.0
61,610.2,61.8,23.42,1.0
62,588.2,63.5,23.98,1.1
63,1027.5,89.9,28.52,1.1
64,659.8,143.2,28.85,1.0
65,592.2,220.4,44.63,1.0
66,1198.9,164.5,25.39,1.0
67,1266.7,105.9,23.33,1.0
68,492.1,143.2,21.78,1.1
69,475.2,78.2,19.29,1.1
70,10.0,64.6,8.48,1.1
71,10.0,63.5,8.3,1.1
72,9.9,71.2,8.28,1.2
73,9.9,71.0,8.27,1.2
74,9.9,85.0,8.26,1.2
75,9.9,86.2,8.26,1.2
76,9.9,67.6,8.27,1.2
77,617.9,64.7,8.51,1.1
78,474.5,86.3,9.92,1.1
79,10.2,85.4,8.61,1.0
80,1251.1,57.4,22.41,1.1
81,555.9,64.5,26.05,1.4
82,1233.3,52.1,26.73,1.4
83,524.7,61.0,26.89,1.5
84,1254.4,63.7,26.53,1.5
85,539.3,53.8,24.43,1.5
86,549.8,47.2,25.51,1.5
87,553.5,63.4,26.35,1.5
88,506.8,88.5,30.05,1.4
89,12.2,85.1,55.68,1.4
90,551.5,92.4,27.61,1.0
91,537.1,79.8,25.07,1.0
92,1258.6,68.4,22.51,1.1
93,569.1,77.5,22.42,1.1
94,583.7,67.8,23.83,1.1
95,519.8,130.4,25.77,1.2
96,539.9,117.5,25.61,1.2
97,554.2,85.8,25.28,1.2
98,1175.0,86.0,24.12,1.2
99,562.9,103.8,23.03,1.3
100,1245.3,119.4,22.39,1.3
101,1157.7,108.9,21.98,1.4
102,1257.2,112.2,22.98,1.5
103,484.2,95.2,21.27,1.2
104,487.5,55.1,20.11,1.1
105,479.3,48.9,20.56,1.1
106,1217.4,51.2,21.81,1.1
107,482.4,54.4,22.46,1.5
108,479.0,60.9,21.73,1.5
109,9.9,52.2,9.68,1.1
110,10.2,55.9,8.99,1.1
111,10.0,56.2,8.46,1.1
112,474.7,65.4,9.03,1.1
113,477.1,70.8,19.02,1.0
114,476.6,67.9,11.65,1.1
115,475.5,116.7,11.59,1.1
116,474.6,93.0,11.49,1.1
117,10.0,96.4,8.55,1.1
118,10.0,95.5,8.34,1.2
119,0.0,130.2,0.01,1.2
120,0.0,105.3,0.01,1.2
121,0.0,113.9,0.01,1.2
122,0.0,121.1,0.01,1.2
123,0.0,113.1,0.01,1.2
124,0.0,104.7,0.01,1.2
125,9.9,72.6,8.26,1.2
126,10.0,69.2,8.54,1.1
127,10.3,79.6,8.58,1.1
128,10.1,50.7,8.41,1.1
129,479.0,48.5,20.43,1.1
130,1213.1,56.9,21.09,1.2
131,1212.6,59.6,21.08,1.5
132,473.8,74.7,19.64,1.5
133,473.6,70.3,17.61,1.2
134,478.3,61.0,20.36,1.2
135,473.6,59.5,26.11,1.2
136,1250.3,82.1,27.89,1.2
137,1193.1,87.0,28.15,1.0
138,1242.0,86.5,25.93,1.1
139,1166.4,76.0,22.67,1.1
140,473.7,76.3,13.59,1.1
141,10.2,67.4,8.54,1.1
142,10.0,58.5,8.45,1.1
143,0.0,56.4,0.01,5.6
144,0.0,62.2,0.01,6.0
145,0.0,56.4,0.01,5.5
146,0.0,59.0,0.0,4.1
147,0.0,54.1,0.01,4.9
148,0.0,190.0,0.01,4.7
149,9.9,87.5,8.62,1.5
150,1245.7,116.8,22.92,1.9
151,548.2,129.9,22.64,1.7
152,479.5,83.3,22.41,1.8
153,492.6,65.5,23.68,9.2
154,1248.3,71.0,24.43,10.4
155,488.1,68.5,24.79,181.3
156,558.5,68.1,24.46,163.5
157,531.0,65.0,24.2,10.2
158,480.3,69.9,24.07,10.4
159,585.2,112.4,29.02,18.0
160,576.3,213.1,36.67,272.6
161,818.5,167.3,62.05,268.4
162,651.9,186.9,33.27,161.0
163,526.6,177.2,31.38,162.1
164,617.3,166.8,30.27,44.4
165,560.9,201.6,29.79,54.8
166,1223.0,167.5,28.89,36.5
167,1163.9,168.4,27.07,23.6
168,1355.0,172.1,26.88,45.1
169,1294.4,200.1,26.73,32.8
170,563.7,199.9,26.95,34.3
171,474.8,208.7,27.48,51.1
172,539.0,215.4,28.14,100.7
173,556.3,209.4,29.25,140.9
174,523.5,189.9,29.66,178.0
175,549.2,174.7,26.24,218.8
176,523.9,60.5,24.97,13.1
177,530.6,89.0,24.3,6.7
178,563.1,63.4,24.39,7.5
179,524.3,50.8,24.54,9.4
180,483.8,49.3,24.54,9.1
181,530.4,92.5,24.12,7.3
182,523.9,122.7,24.34,6.5
183,614.4,114.2,27.96,6.4
184,660.1,168.5,30.63,8.3
185,639.5,143.0,40.67,8.6
186,554.0,141.3,31.85,6.0
187,619.4,141.6,30.79,5.9
188,534.1,106.3,29.74,1.5
189,653.7,214.8,27.92,1.1
190,475.0,140.3,26.22,1.4
191,539.1,155.9,24.95,11.0
192,532.6,132.2,24.54,11.3
193,533.9,167.9,24.47,11.5
194,1170.9,154.8,24.46,11.6
195,1283.6,140.9,24.56,11.6
