,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,477.0,463.4,18.74,305.4
1,470.2,430.9,18.68,208.1
2,471.3,429.3,18.67,210.4
3,482.9,423.1,18.66,205.6
4,474.3,421.5,18.66,209.4
5,481.2,427.1,18.66,208.1
6,489.4,418.6,18.68,205.8
7,542.5,425.0,18.7,200.3
8,467.9,334.6,15.62,178.5
9,474.8,328.2,15.3,144.2
10,475.4,345.1,15.66,171.1
11,476.2,342.6,15.69,163.1
12,470.6,339.0,15.71,66.6
13,470.6,331.8,15.71,86.5
14,469.6,308.9,15.47,150.3
15,471.3,312.8,15.22,129.5
16,487.2,416.1,19.55,227.0
17,489.2,402.3,19.58,266.0
18,487.4,426.1,19.66,262.4
19,498.1,431.7,19.65,261.8
20,486.3,416.5,19.62,264.4
21,486.1,426.3,19.57,266.1
22,487.3,422.8,19.51,268.8
23,484.3,426.7,19.44,265.9
24,490.0,416.8,19.01,211.0
25,472.8,433.0,18.68,203.1
26,483.4,438.2,18.67,202.7
27,489.5,430.6,18.68,203.3
28,483.5,436.5,19.0,208.4
29,484.0,431.9,19.33,232.1
30,485.7,440.6,19.58,248.7
31,474.7,435.5,19.66,264.4
32,478.1,382.6,16.11,35.8
33,478.9,321.3,16.02,29.2
34,482.2,311.8,16.04,2.0
35,480.4,296.2,15.8,57.1
36,474.7,291.5,15.73,97.3
37,481.2,299.3,15.74,71.8
38,474.6,294.9,16.09,59.4
39,491.1,356.9,19.0,71.3
40,658.6,584.9,35.54,363.0
41,571.0,589.5,35.96,401.6
42,569.8,581.6,36.13,462.4
43,732.3,593.5,35.71,397.7
44,549.4,601.7,35.64,420.4
45,1172.1,634.8,35.57,416.5
46,646.7,646.3,35.45,420.4
47,397.0,679.3,35.37,435.3
48,650.0,672.4,34.51,464.6
49,568.5,665.9,34.47,466.4
50,536.1,656.7,34.45,476.9
51,559.5,671.8,34.46,458.7
52,643.4,685.3,34.48,455.0
53,1217.8,692.8,34.58,453.5
54,649.3,665.8,34.8,460.1
55,1148.3,687.3,34.96,461.1
56,605.6,569.9,27.07,201.1
57,533.3,421.3,24.35,197.0
58,533.5,423.1,24.49,194.7
59,556.5,431.6,24.51,184.2
60,534.1,430.6,24.52,182.8
61,551.1,400.4,24.25,179.1
62,552.5,406.8,24.08,165.8
63,573.1,445.2,26.12,183.8
64,656.8,649.2,35.21,362.4
65,722.5,694.9,55.54,395.7
66,721.6,675.8,43.65,411.4
67,717.7,654.7,35.34,375.1
68,819.5,636.9,35.09,358.0
69,714.0,613.9,34.99,363.4
70,639.8,618.4,34.85,382.2
71,587.3,603.9,34.74,381.3
72,799.0,577.3,33.54,370.7
73,804.9,563.9,32.52,366.2
74,787.4,554.1,31.48,364.4
75,807.1,561.6,32.46,360.9
76,796.6,568.2,33.22,360.0
77,800.3,594.2,33.59,354.1
78,796.5,592.1,33.79,350.3
79,1235.0,563.6,33.94,349.1
80,598.6,458.1,28.22,225.4
81,1187.8,431.0,25.82,185.3
82,1186.0,400.9,25.78,173.7
83,1246.9,380.0,25.7,159.2
84,1246.6,387.8,25.52,153.4
85,494.0,382.7,22.69,130.1
86,493.0,358.1,19.59,110.7
87,1213.1,399.7,27.62,160.0
88,0.0,619.1,33.86,360.8
89,917.8,660.1,706.97,357.1
90,801.9,660.1,39.7,364.8
91,812.6,617.3,33.8,336.3
92,581.1,602.6,33.73,341.6
93,808.8,602.7,33.64,352.7
94,0.0,577.0,33.48,372.5
95,808.7,560.6,32.93,371.8
96,1240.1,602.7,30.06,347.7
97,1238.3,598.7,29.47,351.1
98,1168.3,596.5,28.6,319.4
99,1315.1,611.1,28.84,343.7
100,784.9,636.9,30.0,360.9
101,787.3,650.5,30.89,346.2
102,1249.5,613.3,31.39,344.2
103,1255.5,634.9,31.55,347.7
104,553.3,455.9,24.18,67.2
105,536.3,388.4,19.77,112.9
106,491.6,393.6,19.51,100.1
107,488.8,427.5,19.73,109.5
108,474.2,443.2,19.72,114.3
109,484.5,436.0,18.98,90.4
110,0.0,376.8,0.01,86.3
111,490.4,442.0,19.96,124.0
112,808.4,597.4,29.13,299.8
113,560.4,617.4,32.35,313.9
114,1192.4,601.5,48.12,317.2
115,1335.1,507.7,29.36,303.4
116,1205.4,484.3,29.3,305.3
117,1202.3,478.8,29.23,307.3
118,1197.7,485.0,29.12,308.5
119,1193.1,466.5,29.0,308.7
120,1178.5,516.4,28.38,277.2
121,1147.4,521.8,28.1,257.5
122,1299.8,446.7,27.47,254.1
123,1297.2,460.4,27.49,253.7
124,1308.3,488.2,27.82,254.2
125,1184.1,541.1,28.43,273.0
126,1325.0,515.6,28.59,268.2
127,1177.9,521.6,28.73,267.3
128,10.0,308.0,9.11,26.3
129,0.0,244.2,0.01,80.5
130,0.0,242.7,0.01,81.2
131,10.0,282.4,8.25,85.7
132,10.0,275.6,8.25,87.9
