,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,475.3,383.9,24.65,301.2
1,558.9,339.8,23.86,326.4
2,558.6,336.1,23.85,320.5
3,558.4,324.5,23.85,319.2
4,466.4,328.7,23.85,317.1
5,466.5,330.7,23.86,319.2
6,466.9,332.8,23.88,318.8
7,483.3,323.4,23.16,311.9
8,10.0,280.5,8.83,84.1
9,9.8,267.1,8.8,84.1
10,9.8,275.8,8.8,87.5
11,9.8,281.4,8.8,101.0
12,9.8,289.9,8.81,94.7
13,9.8,291.2,8.76,97.4
14,9.8,290.2,8.73,98.8
15,9.8,280.7,8.81,74.5
16,490.3,344.7,25.49,308.2
17,533.5,364.2,25.95,297.9
18,535.0,360.5,26.02,296.6
19,1293.0,355.8,26.02,299.2
20,1292.1,361.7,26.0,302.7
21,489.6,365.6,25.96,303.8
22,1287.3,349.2,25.91,299.5
23,489.5,334.5,25.61,295.8
24,551.3,331.9,24.15,286.5
25,532.9,314.6,23.32,276.8
26,482.6,304.3,23.14,273.0
27,533.1,306.4,23.33,274.9
28,551.6,307.4,24.13,284.6
29,1182.8,323.8,25.44,289.6
30,1230.8,309.1,26.58,294.7
31,539.0,309.0,26.68,284.9
32,9.9,256.9,10.09,79.7
33,478.1,220.0,17.53,71.8
34,478.7,216.2,17.67,73.8
35,479.2,222.9,17.69,76.7
36,479.4,224.8,17.69,77.1
37,479.4,227.7,17.69,75.7
38,480.9,241.3,17.7,75.7
39,552.7,282.2,22.18,79.5
40,1286.2,366.9,31.72,416.3
41,1182.4,372.5,34.76,518.8
42,827.9,384.0,49.54,726.2
43,798.4,385.5,47.72,577.3
44,1361.4,381.0,34.67,603.7
45,1296.8,395.0,34.62,606.0
46,1174.6,412.9,34.53,610.6
47,1197.6,403.6,32.95,534.9
48,1195.4,404.7,32.44,517.4
49,591.5,411.1,31.79,500.6
50,1276.8,437.7,31.56,497.9
51,591.5,452.9,31.66,508.1
52,1185.1,438.0,32.53,532.6
53,1431.9,435.9,33.55,556.5
54,559.9,461.0,35.88,693.2
55,1199.3,443.7,36.55,526.5
56,568.2,358.2,27.73,149.6
57,488.9,316.4,24.54,120.1
58,489.1,318.9,24.55,121.8
59,489.0,308.8,24.54,125.3
60,577.0,309.7,24.53,123.9
61,568.4,295.4,24.52,121.4
62,538.5,290.0,24.5,123.9
63,542.3,319.6,25.37,120.4
64,1319.8,436.1,36.78,594.3
65,807.4,453.1,44.19,702.5
66,827.0,442.1,74.48,693.3
67,745.9,442.9,42.19,704.7
68,989.2,433.5,40.7,693.4
69,807.4,408.9,39.41,693.6
70,1219.9,403.8,36.85,716.8
71,1296.9,431.6,34.92,617.5
72,1223.7,402.6,33.84,568.8
73,1222.1,393.6,33.79,566.0
74,617.6,401.1,33.77,559.7
75,1432.4,406.1,33.79,558.8
76,1433.5,395.5,33.82,555.1
77,1441.5,402.0,35.64,676.5
78,613.1,407.4,49.35,584.1
79,566.9,392.3,39.85,683.7
80,611.8,324.0,30.04,215.0
81,1287.2,307.2,27.07,129.6
82,555.4,318.2,27.02,130.6
83,1180.1,296.9,26.95,135.3
84,553.5,296.0,26.93,138.3
85,1255.1,287.2,26.82,140.3
86,495.1,284.7,26.15,130.4
87,1283.1,315.1,27.3,140.7
88,1296.4,417.0,35.16,498.4
89,1214.7,399.2,42.25,451.1
90,571.9,410.5,68.84,608.3
