,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,463.6,597.3,20.98,124.5
1,10.1,543.7,8.38,131.4
2,10.0,557.0,8.35,138.5
3,10.0,546.8,8.32,137.8
4,10.0,560.0,8.32,126.0
5,10.0,551.6,8.33,119.9
6,10.1,586.1,8.39,119.3
7,10.1,345.0,8.4,115.3
8,9.9,183.7,8.36,107.4
9,9.9,172.1,8.37,109.8
10,10.0,150.4,9.24,114.5
11,1203.9,128.7,21.74,109.2
12,1201.8,122.1,22.04,111.5
13,479.6,116.4,21.7,112.4
14,488.3,144.4,21.89,114.5
15,1274.2,427.0,24.57,120.4
16,570.6,566.3,27.39,176.2
17,1022.0,651.3,27.88,198.5
18,1313.1,628.4,27.83,199.7
19,570.8,694.6,27.34,192.1
20,1204.1,523.4,26.93,130.8
21,1266.2,531.4,26.02,119.6
22,1172.7,691.8,24.64,119.3
23,1199.6,586.7,22.3,121.1
24,1194.7,630.8,21.77,119.0
25,476.1,676.7,21.54,118.6
26,473.7,685.9,21.44,117.9
27,1143.6,618.3,22.34,131.3
28,1139.5,587.8,24.03,128.8
29,1181.5,547.4,25.88,170.8
30,558.8,575.8,26.72,199.2
31,549.1,279.2,26.86,164.8
32,486.4,85.0,26.22,93.5
33,552.8,84.5,26.83,92.6
34,624.9,98.6,27.16,88.7
35,1206.9,91.5,27.39,146.4
36,1312.8,81.8,27.24,143.2
37,557.0,74.1,27.11,115.3
38,557.9,98.1,27.89,161.6
39,1185.4,301.1,30.55,209.0
40,528.2,572.8,35.51,250.5
41,550.5,624.8,41.3,288.5
42,1244.7,635.2,63.9,285.3
43,1252.5,698.6,39.77,265.3
44,1237.8,703.3,36.71,272.1
45,1301.3,724.1,32.89,266.1
46,1191.4,705.6,30.89,270.6
47,606.8,699.6,29.21,276.7
48,543.3,722.2,28.81,286.5
49,551.2,732.1,28.45,311.4
50,1267.8,867.6,28.45,322.1
51,552.4,679.5,28.9,279.5
52,1180.8,719.4,30.97,267.0
53,1200.6,680.1,34.46,294.7
54,1275.4,653.4,36.28,300.9
55,570.6,280.7,32.69,262.3
56,1374.1,64.1,31.35,167.5
57,557.7,50.1,31.33,157.4
58,557.8,58.2,31.37,174.2
59,481.9,56.1,30.79,180.7
60,554.8,32.1,29.85,181.7
61,547.2,27.9,29.31,193.9
62,1215.7,61.8,29.91,198.2
63,570.4,410.5,33.0,247.6
64,800.9,730.7,36.93,220.5
65,912.2,716.2,68.43,240.0
66,893.7,712.2,48.22,231.6
67,618.4,749.8,37.34,211.6
68,557.7,742.0,31.76,188.6
69,1053.0,699.8,29.39,178.4
