,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,546.1,155.0,17.65,119.6
1,488.2,177.5,17.25,96.8
2,487.2,176.3,17.22,101.5
3,486.4,169.9,17.19,110.6
4,485.8,185.7,17.34,121.4
5,541.4,169.9,17.5,156.7
6,541.9,166.8,17.52,172.5
7,471.9,151.1,17.54,156.0
8,466.2,48.4,15.06,91.5
9,467.7,55.2,15.27,104.7
10,482.7,64.8,16.05,116.9
11,474.4,68.0,16.22,116.7
12,490.3,65.0,16.26,109.1
13,485.3,59.4,16.15,92.2
14,483.5,77.5,16.28,98.7
15,494.3,181.9,17.74,104.3
16,551.4,158.1,17.83,152.8
17,553.3,156.7,17.89,143.0
18,557.4,159.8,18.02,126.0
19,557.0,153.2,18.01,113.7
20,555.0,156.5,17.94,107.0
21,553.1,157.7,17.88,92.8
22,494.2,168.9,17.54,77.1
23,553.3,123.8,16.38,74.2
24,9.9,113.9,8.91,69.5
25,9.9,117.4,8.88,71.4
26,9.9,120.6,8.86,71.2
27,9.9,118.6,8.85,74.8
28,9.9,121.1,8.85,73.0
29,9.9,114.4,8.86,72.0
30,9.9,113.7,8.89,70.2
31,10.0,85.6,8.92,67.2
32,10.0,57.7,8.94,62.1
33,10.0,53.2,8.96,61.3
34,10.0,57.7,8.99,61.6
35,10.1,61.8,9.02,60.6
36,10.1,57.0,9.04,57.0
37,10.1,54.2,9.04,53.3
38,10.1,63.8,9.05,60.4
39,481.3,118.0,19.2,86.8
40,642.2,152.9,27.54,135.1
41,647.7,135.0,28.06,143.0
42,12.4,138.1,28.11,145.0
43,632.3,143.1,27.74,146.6
44,632.0,148.3,27.65,154.3
45,538.1,150.8,27.54,164.3
46,635.3,155.6,27.24,166.4
47,537.4,144.7,23.56,178.3
48,530.6,107.3,23.47,192.1
49,529.1,120.3,23.4,199.9
50,528.2,89.7,23.36,204.3
51,528.0,130.8,23.35,212.3
52,528.0,139.1,23.35,213.2
53,544.0,130.2,23.64,218.5
54,629.2,140.7,27.28,204.0
55,632.8,101.9,27.62,159.5
56,540.1,25.2,23.89,127.8
57,540.0,26.0,23.88,132.1
58,540.2,27.6,23.89,140.9
59,553.9,8.0,24.4,141.3
60,557.0,19.5,23.96,126.7
61,546.1,8.9,23.73,104.5
62,541.2,15.1,23.97,115.4
63,591.1,167.5,27.9,144.2
64,680.0,193.8,31.39,140.3
65,826.2,194.3,31.67,140.5
66,809.5,221.8,36.26,140.5
67,657.3,171.8,31.51,139.6
68,650.4,200.8,31.42,140.4
69,635.3,211.1,31.19,138.9
70,806.6,240.7,29.93,139.6
71,786.2,208.9,27.5,140.6
72,555.1,145.4,24.95,134.2
73,557.6,213.4,24.87,132.7
74,556.7,207.2,24.83,137.2
75,556.3,217.1,24.81,140.5
76,552.1,217.4,24.81,142.7
77,532.5,238.9,24.86,145.7
78,560.9,191.0,25.01,158.4
79,818.9,175.8,28.39,150.2
80,563.3,78.9,25.42,132.4
81,544.2,47.5,25.99,143.1
82,575.3,47.1,26.24,143.1
83,575.9,48.1,26.26,153.9
84,565.7,43.7,26.27,153.2
85,565.1,52.3,26.25,145.7
86,580.5,95.6,26.84,185.2
87,667.1,172.5,31.25,241.7
88,645.9,254.1,31.41,227.1
89,1264.1,293.2,659.52,251.2
90,817.5,268.9,549.33,247.4
91,799.8,266.6,31.44,221.7
92,808.2,282.2,31.33,221.4
93,634.6,266.0,30.26,209.3
94,797.3,252.0,29.22,182.6
95,788.2,252.1,28.44,195.2
96,521.1,232.7,22.41,195.3
97,532.7,233.1,22.33,183.5
98,530.6,219.4,22.29,167.0
99,530.2,244.5,22.28,167.9
100,550.6,238.5,22.27,175.7
101,531.0,215.9,22.31,183.3
102,521.8,230.4,22.45,189.1
103,571.9,219.0,26.45,174.5
104,556.9,163.1,25.21,171.3
105,529.4,94.5,22.76,162.7
106,529.5,96.5,22.77,155.4
107,530.0,115.8,22.79,160.5
108,530.0,104.4,22.79,157.2
109,529.7,120.9,22.78,155.6
110,530.1,108.1,22.8,164.2
111,545.5,185.4,23.6,178.5
112,803.9,243.2,28.34,165.3
113,816.5,235.2,35.17,156.5
114,816.9,242.6,41.89,146.5
115,818.2,223.3,27.99,143.4
116,781.8,238.2,27.84,145.9
117,776.1,237.2,27.64,157.6
118,771.8,255.0,27.49,174.3
119,780.3,248.1,27.34,190.6
120,570.4,239.5,26.93,221.6
121,554.8,214.5,26.3,266.2
122,548.1,210.4,24.34,243.9
123,529.5,230.4,24.33,250.6
124,543.9,203.9,24.32,244.1
125,544.8,207.1,24.36,253.6
126,565.0,199.8,26.15,240.0
127,796.6,177.7,28.85,211.6
128,555.4,149.4,20.5,149.4
129,566.0,94.2,19.01,113.0
130,566.0,95.6,19.01,98.9
131,566.4,99.2,19.02,97.9
132,566.3,104.8,19.02,92.4
133,565.7,110.0,19.0,86.3
