,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,0.0,448.7,0.0,2.1
1,0.0,442.9,0.0,2.1
2,0.0,429.0,0.0,2.4
3,0.0,431.3,0.0,2.2
4,0.0,435.6,0.0,2.1
5,0.0,425.0,0.0,2.7
6,0.0,419.6,0.0,2.0
7,0.0,334.0,0.0,3.7
8,0.0,313.5,0.0,1.7
9,0.0,344.5,0.0,1.8
10,0.0,340.4,0.0,2.1
11,0.0,351.0,0.0,2.2
12,0.0,341.7,0.0,2.2
13,0.0,324.7,0.0,2.0
14,0.0,330.6,0.01,2.2
15,0.0,440.4,0.01,2.3
16,0.0,435.0,0.01,15.2
17,0.0,452.3,0.01,11.1
18,0.0,445.9,0.01,10.2
19,0.0,449.3,0.01,11.5
20,0.0,453.8,0.01,18.6
21,0.0,441.2,0.01,4.2
22,0.0,434.2,0.01,3.2
23,0.0,425.9,0.01,3.1
24,0.0,430.7,0.0,2.6
25,0.0,432.7,0.0,2.4
26,0.0,423.4,0.0,2.3
27,0.0,431.5,0.0,2.5
28,0.0,435.5,0.0,2.5
29,0.0,440.1,0.0,2.7
30,0.0,433.7,0.01,3.2
31,0.0,341.5,0.01,2.8
32,0.0,288.3,0.0,1.4
33,0.0,279.4,0.0,1.4
34,0.0,275.4,0.0,1.5
35,0.0,270.3,0.0,1.2
36,0.0,278.0,0.0,1.3
37,0.0,279.3,0.0,1.3
38,0.0,355.7,0.0,1.3
39,0.0,608.6,1.45,1.2
40,510.1,606.4,30.79,173.4
41,583.3,651.9,53.13,176.9
42,652.2,630.1,30.82,204.0
43,577.9,637.3,30.64,182.8
44,529.7,669.8,30.55,191.0
45,527.7,685.9,30.43,200.5
46,577.6,707.2,30.31,217.0
47,561.7,689.7,31.05,231.8
48,555.5,683.7,30.66,273.1
49,568.1,706.6,30.31,297.4
50,529.7,734.7,30.18,256.0
51,571.8,722.2,30.12,242.0
52,491.5,729.6,30.42,240.8
53,599.4,741.8,30.85,223.6
54,646.3,740.3,31.1,212.6
55,527.1,549.8,23.94,170.2
56,485.9,432.5,20.34,9.3
57,451.6,442.8,20.2,9.7
58,491.6,439.3,20.21,8.9
59,0.0,436.5,20.22,8.7
60,486.9,387.1,20.23,11.6
61,479.3,398.0,20.22,14.1
62,0.0,450.5,20.21,14.8
63,521.2,707.3,24.0,35.7
64,591.8,749.3,31.84,37.8
65,594.4,729.4,24.26,41.4
66,10.4,706.6,11.29,3.2
67,10.3,691.4,9.15,1.8
68,10.1,654.3,8.98,1.3
69,0.0,675.0,1.56,0.8
70,0.0,689.0,1.53,0.4
71,0.0,660.8,1.55,0.4
72,0.0,641.1,1.55,0.4
73,0.0,640.5,1.55,0.4
74,0.0,651.4,1.55,0.4
75,0.0,642.3,1.55,0.4
76,0.0,662.3,1.55,0.4
77,0.0,656.9,1.56,0.4
78,9.9,622.2,1.71,0.6
79,0.0,479.7,1.57,0.5
80,0.0,445.2,1.57,0.2
81,9.9,428.0,1.87,0.3
82,10.2,390.3,8.91,1.7
83,10.2,390.5,9.09,2.3
84,10.2,374.0,9.01,2.3
85,9.9,367.7,8.86,1.1
86,10.2,427.0,9.07,0.8
87,10.1,668.4,9.15,5.2
88,436.8,668.0,13.92,21.4
89,10.4,690.9,10.34,19.4
90,10.4,660.9,9.2,2.6
91,10.1,626.7,9.0,1.2
92,10.1,636.1,8.96,1.0
93,10.0,627.6,8.91,0.8
94,9.9,588.6,9.03,0.8
95,556.1,633.8,21.4,1.2
96,547.5,607.3,21.36,1.4
97,10.1,593.4,21.33,1.4
98,606.3,612.6,21.32,1.3
99,546.7,681.1,21.33,1.7
100,10.1,693.9,8.99,0.8
101,9.8,619.2,8.74,1.3
102,10.2,675.9,9.07,1.8
103,10.1,441.4,8.94,1.4
104,0.0,346.0,0.01,0.3
105,0.0,375.1,0.01,0.2
106,0.0,401.6,0.01,0.5
107,0.0,428.3,0.01,0.9
108,0.0,403.4,0.01,1.0
109,0.0,363.7,0.01,0.4
110,0.0,420.2,0.01,0.5
111,0.0,641.6,0.01,1.1
112,0.0,612.7,0.02,18.5
113,438.0,602.1,0.02,20.2
114,0.0,545.3,0.01,2.5
115,0.0,529.8,0.01,1.1
116,0.0,529.0,0.01,1.1
117,0.0,538.1,0.01,1.1
118,0.0,595.6,0.01,0.9
119,0.0,539.3,0.01,1.0
120,0.0,520.9,0.01,0.6
121,0.0,458.4,0.01,0.7
122,0.0,471.6,0.01,0.6
123,0.0,497.6,0.01,0.6
124,0.0,549.2,0.01,0.8
125,0.0,570.2,0.01,0.7
126,0.0,548.8,0.01,2.3
127,0.0,308.2,0.01,0.9
128,0.0,207.8,0.01,0.3
129,0.0,221.3,0.01,0.4
130,0.0,259.7,0.01,1.4
131,0.0,254.0,0.01,2.7
132,0.0,227.4,0.01,1.7
133,0.0,214.8,0.01,0.7
134,0.0,240.5,0.01,1.3
135,0.0,439.0,0.01,7.5
136,0.0,436.5,0.01,21.5
137,0.0,466.6,0.01,7.2
138,0.0,482.3,0.01,17.5
139,0.0,468.6,0.01,0.9
140,0.0,456.0,0.01,0.9
141,0.0,455.9,0.01,1.0
142,0.0,437.1,0.01,1.0
143,0.0,422.2,0.01,0.7
144,0.0,411.5,0.01,0.6
145,0.0,448.3,0.01,1.0
146,0.0,424.0,0.01,0.7
147,0.0,425.9,0.01,0.5
148,0.0,459.1,0.01,0.7
149,0.0,433.6,0.01,1.5
150,0.0,447.9,1.69,1.6
151,9.9,290.2,9.0,2.3
152,9.8,218.7,8.44,0.8
153,472.3,214.1,17.62,1.4
154,473.0,230.5,19.1,10.9
155,490.6,217.2,19.28,13.7
156,491.0,229.8,19.26,11.7
157,472.2,226.9,18.95,1.7
158,473.9,296.1,19.13,3.9
159,0.0,564.9,30.26,254.3
160,659.6,613.3,30.6,229.3
161,660.4,604.8,30.63,224.2
162,660.8,600.5,30.69,221.8
163,659.7,596.5,30.4,213.4
164,496.0,597.4,30.3,227.6
165,476.4,599.6,30.19,246.4
166,474.4,604.4,30.06,243.1
167,472.4,579.0,29.43,253.9
168,1137.4,600.8,27.97,264.7
169,1213.2,581.1,26.97,275.1
170,1157.2,608.8,27.46,287.4
171,473.8,622.3,28.05,287.7
172,474.8,660.0,28.53,300.7
173,638.8,655.3,29.14,312.0
174,483.5,656.1,29.31,287.3
175,1005.4,391.2,24.83,251.9
176,548.6,288.5,23.74,201.4
177,549.7,291.0,23.78,180.6
178,550.4,314.3,23.81,190.0
179,551.1,314.4,23.85,193.8
180,551.8,302.8,23.87,181.9
181,551.7,313.1,23.87,161.1
182,552.0,365.7,24.38,155.8
183,1474.0,674.8,31.25,204.4
184,652.1,668.6,31.41,192.6
185,1529.2,649.2,31.56,193.4
186,654.3,661.6,31.52,194.1
187,653.3,661.4,31.47,184.8
188,1479.6,675.7,31.37,190.4
189,650.3,682.4,31.25,187.4
190,1488.2,680.3,30.83,200.4
191,1222.1,646.6,26.56,160.6
192,546.4,642.2,25.36,157.2
193,1198.9,628.6,25.34,147.6
194,1204.9,639.4,25.34,150.7
195,483.3,626.6,25.35,156.2
