,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,524.4,55.9,33.09,113.0
1,522.4,59.4,32.97,117.1
2,521.5,53.1,32.91,128.1
3,520.9,53.2,32.87,130.2
4,520.6,60.5,32.85,132.8
5,521.1,58.1,32.89,122.3
6,522.0,63.2,32.94,102.7
7,0.0,20.6,0.01,2.3
8,0.0,11.6,0.0,0.0
9,0.0,11.2,0.01,0.3
10,0.0,12.3,0.01,0.8
11,0.0,13.6,0.01,1.4
12,0.0,11.2,0.01,1.0
13,0.0,10.4,0.01,0.2
14,0.0,11.5,0.01,0.4
15,491.3,22.8,31.38,27.5
16,530.4,53.6,34.63,95.3
17,534.9,54.7,34.92,86.4
18,538.7,52.3,35.02,81.2
19,535.2,57.2,34.94,85.4
20,533.1,58.2,34.8,85.0
21,492.9,57.1,31.48,51.8
22,489.9,59.4,31.29,58.0
23,475.8,58.5,31.08,89.7
24,483.6,60.0,30.88,103.1
25,503.3,61.9,30.82,110.5
26,421.8,64.5,30.79,113.5
27,421.7,64.1,30.78,109.8
28,422.0,71.0,30.8,104.3
29,472.6,67.2,30.88,94.4
30,474.4,60.0,30.99,82.9
31,10.0,9.7,9.91,6.4
32,0.0,5.5,0.01,1.2
33,9.9,6.2,9.34,1.7
34,1151.2,6.8,9.39,3.0
35,10.0,6.1,9.4,3.9
36,10.0,6.2,9.41,2.9
37,0.0,5.4,1.71,1.4
38,1228.0,7.1,10.0,1.7
39,585.5,36.2,33.81,54.5
40,574.3,57.9,34.63,89.9
41,613.1,51.9,35.03,73.6
42,579.0,49.2,34.91,80.0
43,574.7,52.7,34.65,87.7
44,604.0,49.1,34.5,87.2
45,1550.5,65.5,33.15,88.4
46,613.2,64.9,32.93,97.1
47,424.7,67.6,32.76,103.8
48,423.1,68.4,32.63,116.5
49,492.1,71.8,32.57,121.6
50,558.7,77.2,32.54,123.6
51,605.8,78.3,32.53,117.8
52,422.3,75.3,32.57,113.9
53,608.9,79.0,32.71,101.6
54,1540.6,74.8,32.94,83.0
55,546.1,36.1,28.03,19.9
56,547.0,13.7,26.81,4.5
57,547.2,12.4,26.82,5.2
58,548.0,12.0,26.86,5.9
59,549.0,12.6,26.91,7.6
60,1261.9,12.3,26.94,5.9
61,1250.9,12.2,25.62,4.0
62,1263.7,12.4,26.98,5.8
63,495.3,38.2,33.44,47.0
64,608.6,53.2,33.81,78.1
65,506.9,56.0,315.05,70.6
66,612.4,53.2,34.02,71.5
67,495.1,54.0,33.75,71.4
68,492.9,54.7,33.6,85.6
69,529.3,53.6,30.39,87.3
70,486.9,57.2,30.18,81.1
71,484.2,61.4,30.02,89.4
72,482.3,67.7,29.9,93.8
73,481.3,71.9,29.84,96.0
74,480.7,74.5,29.8,99.4
75,480.7,70.7,29.8,99.4
76,481.2,66.6,29.83,95.4
77,483.3,64.9,29.96,88.5
78,482.9,64.3,30.18,67.1
79,492.0,26.6,24.81,9.0
80,1154.6,9.2,22.74,2.9
81,1270.1,9.0,22.76,3.2
82,1190.4,9.2,22.8,4.3
83,1192.9,12.1,22.85,5.0
84,1229.2,9.5,22.88,4.5
85,1230.2,10.1,22.9,2.7
86,1164.2,10.7,22.93,3.0
87,534.6,32.0,30.7,32.3
88,536.8,50.9,30.82,64.5
89,541.7,52.0,31.63,63.1
90,495.1,51.0,30.96,66.3
91,539.1,51.1,30.7,69.7
92,536.7,52.1,30.57,76.0
93,491.0,60.6,30.68,89.3
94,486.8,62.9,30.47,99.6
95,484.9,60.0,30.3,107.8
96,483.0,61.2,30.18,112.7
97,482.0,62.5,30.11,111.4
98,481.4,63.1,30.08,106.4
99,480.5,62.5,30.07,120.9
100,481.0,62.8,30.1,115.8
101,483.0,63.7,30.23,105.8
102,486.4,59.4,30.45,78.0
103,491.6,34.4,25.29,19.6
104,1154.2,10.6,9.53,4.1
105,1155.6,10.3,9.54,3.5
106,10.2,10.7,9.56,4.6
107,10.2,11.1,9.59,5.7
108,1163.0,10.4,9.6,4.7
109,0.0,9.6,1.46,3.3
110,1165.1,10.1,9.62,3.6
111,485.5,27.5,27.05,30.7
112,541.3,51.1,30.86,68.6
113,490.7,51.7,31.12,64.2
114,488.3,52.0,30.97,69.4
115,538.6,53.2,30.7,71.1
116,472.4,58.7,30.57,67.6
117,490.0,55.7,30.67,63.0
118,486.8,56.4,30.47,72.1
119,484.1,66.0,30.3,74.5
120,482.2,69.3,30.18,83.9
121,481.2,71.2,30.12,82.3
