,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,572.4,481.3,32.26,651.4
1,540.4,458.0,32.2,668.2
2,572.3,473.6,32.17,667.6
3,575.2,465.6,31.64,679.8
4,526.8,476.3,31.64,695.8
5,575.4,475.5,31.65,719.0
6,573.0,480.4,32.21,780.0
7,573.8,452.0,32.25,703.3
8,1027.4,278.0,26.7,468.5
9,1186.5,188.1,24.73,284.1
10,1287.5,160.8,26.14,474.8
11,1174.8,153.7,26.13,487.0
12,1187.0,152.5,26.12,464.9
13,1173.5,150.0,26.1,439.4
14,10.0,145.5,9.52,212.8
15,1322.1,146.6,26.4,382.6
16,552.2,300.7,32.88,861.1
17,554.4,398.8,33.98,228.4
18,555.8,407.3,34.37,38.1
19,619.4,408.3,34.37,180.8
20,561.8,408.9,34.32,199.0
21,620.7,406.0,33.96,129.7
22,566.4,410.3,31.99,7.2
23,561.8,415.9,30.91,52.3
24,527.4,407.9,30.65,275.8
25,1243.0,407.6,30.61,533.9
26,1242.4,403.7,30.6,536.8
27,1242.4,422.7,30.6,565.4
28,1243.3,420.7,30.62,588.5
29,1245.0,408.9,30.66,639.5
30,1248.1,412.3,30.74,616.3
31,1251.5,384.3,30.82,713.4
32,1422.1,266.3,29.06,554.3
33,586.5,217.2,28.72,503.1
34,1300.3,237.5,29.04,564.8
35,473.8,228.3,29.1,568.7
36,482.1,223.3,29.02,559.8
37,577.6,214.6,28.79,522.1
38,557.2,221.7,28.57,562.8
39,585.1,295.2,29.23,611.4
40,567.7,346.4,31.3,125.9
41,569.7,396.5,33.73,55.1
42,625.0,395.1,34.11,59.5
43,627.2,392.9,33.5,136.4
44,569.5,394.4,31.39,312.9
45,1345.6,428.7,30.9,564.1
46,1311.5,428.3,30.25,583.6
47,574.4,446.8,30.15,572.8
48,573.2,457.6,30.08,569.0
49,537.5,481.2,30.05,569.5
50,537.2,471.3,29.76,568.4
51,563.2,488.6,29.65,568.9
52,537.8,465.4,29.9,561.3
53,574.4,462.9,30.14,557.2
54,1313.0,442.5,30.29,584.9
55,579.7,395.6,30.42,554.2
56,589.0,267.3,29.06,566.7
57,588.3,227.6,28.7,485.2
58,588.0,192.1,28.68,489.7
59,579.3,177.8,28.66,489.8
60,586.9,192.5,28.63,492.5
61,578.0,207.0,28.5,484.3
62,1302.7,188.9,27.75,438.7
63,545.5,237.7,28.56,522.0
64,1314.1,391.5,30.31,494.9
65,570.0,399.4,31.4,313.5
66,571.3,414.9,33.03,502.8
67,570.8,435.1,32.72,584.0
68,570.2,453.8,30.88,626.5
69,1317.4,435.1,30.39,625.9
70,577.2,430.9,30.52,710.8
71,1293.2,480.2,30.25,650.0
72,574.1,489.9,29.76,617.6
73,538.4,497.2,29.73,608.6
74,538.1,515.3,29.72,608.0
75,538.2,506.5,29.72,605.4
76,573.8,492.8,29.74,620.0
77,1308.4,431.8,29.81,652.1
78,1298.8,447.2,30.49,721.3
79,580.5,414.4,30.69,704.3
80,1279.8,295.3,28.85,498.4
81,561.7,203.5,28.59,546.6
82,561.1,203.7,28.56,595.3
83,560.4,207.3,28.52,597.2
84,559.8,204.6,28.49,539.2
85,1423.4,220.9,28.47,516.5
86,1271.8,216.6,28.44,588.7
87,557.6,258.7,28.43,561.5
88,583.6,312.6,31.25,193.1
89,580.0,414.4,31.69,597.4
90,549.5,412.7,38.24,591.3
91,1285.3,408.5,31.93,594.4
92,606.3,415.4,31.24,573.7
93,565.7,417.0,30.93,657.3
94,582.6,412.9,32.64,737.2
95,572.0,429.5,32.17,700.9
96,570.7,441.3,31.58,655.5
97,570.0,441.0,31.36,659.1
98,559.3,437.9,30.47,690.2
99,559.3,423.3,30.45,697.7
100,578.5,418.4,31.56,694.7
101,1662.6,403.9,32.48,687.7
102,1472.4,396.4,32.63,666.3
103,589.0,402.4,32.78,688.0
104,544.4,276.9,30.34,569.1
105,1277.4,243.0,28.03,431.9
106,1276.9,245.4,28.02,435.1
107,1276.1,258.4,28.0,447.2
108,1303.8,250.8,27.95,432.4
109,1242.0,263.0,27.91,411.7
110,1227.4,236.0,24.53,298.6
111,1298.1,267.5,27.88,411.0
112,575.0,291.2,31.64,667.9
113,610.1,415.3,33.84,623.9
114,645.2,411.7,33.94,549.8
115,644.7,413.9,33.91,561.6
116,725.1,416.5,33.87,568.5
117,570.5,423.8,33.82,627.8
118,600.5,417.6,34.19,600.6
119,572.6,429.6,34.07,611.0
120,571.5,425.6,34.01,623.5
121,570.9,427.0,33.78,640.5
122,570.8,458.2,32.81,656.4
123,571.0,447.1,32.82,680.8
124,571.5,450.8,33.44,700.8
125,543.9,433.6,34.09,705.5
126,546.4,443.4,34.24,734.7
127,548.4,426.7,34.37,753.7
128,527.3,230.6,32.47,607.3
129,1430.0,242.3,30.53,595.9
130,1321.3,229.3,30.51,612.2
131,1319.8,240.7,30.48,633.9
132,1318.3,259.2,30.44,645.7
133,1316.8,248.9,30.41,643.6
134,1241.5,231.5,30.21,659.2
135,481.2,261.9,30.38,720.6
136,721.4,336.3,35.41,922.2
137,729.6,446.8,35.79,700.0
138,787.6,446.7,35.84,643.6
139,729.5,438.7,35.78,626.8
140,1318.3,440.1,35.72,776.8
141,542.5,442.2,35.67,728.8
142,771.3,456.6,34.24,756.9
143,646.5,437.2,34.14,698.1
144,645.1,442.5,33.93,697.4
145,475.7,449.6,33.87,808.2
146,574.7,454.5,33.84,806.7
147,574.6,460.3,33.84,825.7
148,585.2,458.8,33.89,576.9
149,530.6,479.7,33.92,516.1
150,543.2,464.3,33.99,520.6
151,532.9,456.7,34.07,533.3
152,474.8,396.1,29.93,709.7
153,586.5,195.3,29.39,563.8
154,558.7,180.8,29.41,571.9
155,523.6,184.4,29.28,717.0
156,559.1,191.6,29.17,714.7
157,558.6,188.1,29.14,687.3
158,1240.3,293.0,27.55,362.4
159,474.5,269.2,29.32,480.1
160,648.4,317.0,34.1,827.1
161,539.2,427.0,34.53,451.9
162,602.4,445.5,34.6,479.4
163,545.0,462.5,34.59,142.4
164,601.6,453.0,34.56,163.2
165,543.7,439.1,34.51,541.7
166,587.2,419.0,34.07,125.9
167,540.6,439.5,33.89,115.0
168,523.8,444.9,33.82,75.2
169,583.2,432.0,33.66,21.1
170,35.4,445.0,33.65,0.3
171,1304.6,434.5,33.64,19.1
172,644.2,439.7,33.65,226.7
173,518.9,449.0,33.53,619.9
174,494.8,428.7,33.59,740.5
175,491.8,405.7,33.36,762.9
176,1262.8,284.3,28.2,647.5
177,1225.9,229.0,26.36,264.8
178,1226.4,248.1,26.51,290.8
179,1184.6,252.2,26.49,289.6
180,1190.9,272.6,26.48,305.4
181,1264.9,240.9,26.46,332.5
182,576.8,287.5,25.84,225.9
183,1222.6,291.5,26.43,333.3
184,545.6,304.9,32.23,781.5
185,1317.3,416.1,33.97,569.3
186,577.3,416.5,34.06,510.2
187,590.5,413.9,34.07,546.7
188,590.0,420.7,34.04,679.9
189,581.2,416.7,33.84,711.5
190,579.7,426.2,34.16,845.2
191,577.9,435.2,34.05,833.4
192,584.3,428.3,33.85,782.7
193,518.9,449.9,33.34,741.1
194,583.5,449.1,33.33,727.6
195,583.6,440.6,33.34,755.4
196,609.9,441.0,33.37,786.8
197,585.6,449.0,34.04,799.9
198,581.0,432.5,34.23,832.2
199,591.3,435.1,34.39,787.7
200,528.0,307.8,32.54,663.7
201,568.5,252.7,31.55,642.1
202,568.1,266.0,31.41,648.8
203,1259.4,285.5,31.37,652.9
204,1258.2,294.1,31.34,661.8
205,1256.9,282.0,31.3,664.8
206,543.1,263.8,30.34,645.4
207,1241.1,271.5,31.25,684.1
208,568.7,320.7,35.31,735.6
209,612.0,423.1,35.74,225.7
210,572.2,428.3,37.24,41.5
211,571.6,429.4,36.88,218.0
212,645.1,426.6,35.55,340.6
213,569.7,422.1,35.37,681.8
214,639.2,474.7,35.51,731.3
215,565.8,464.6,34.79,821.3
216,561.1,470.1,33.8,755.7
217,579.6,483.2,33.76,712.4
218,579.4,467.3,33.6,701.4
219,579.3,466.1,33.6,699.9
220,579.9,459.2,33.63,728.9
221,581.2,452.9,34.46,768.1
222,564.6,469.5,35.3,671.8
223,548.0,416.4,35.68,661.0
224,568.4,303.6,32.46,589.0
225,616.2,288.2,30.15,556.2
226,473.0,293.8,30.13,564.7
227,544.2,285.6,30.09,564.5
228,559.3,296.1,30.06,554.8
229,543.4,309.8,30.01,547.6
230,586.8,238.5,29.1,548.8
231,471.2,288.9,30.06,574.5
232,584.6,288.6,35.43,271.2
233,496.6,442.1,36.56,255.0
234,626.8,441.6,36.5,480.2
235,546.5,440.6,36.03,562.2
236,587.1,423.4,35.71,648.2
237,614.3,433.9,35.64,637.7
238,493.7,449.4,34.07,569.1
239,492.1,437.6,33.96,544.3
240,491.1,449.8,33.89,580.9
