,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,519.3,460.3,37.39,218.5
1,541.8,480.6,37.32,221.2
2,541.0,481.3,37.26,222.2
3,540.5,463.4,37.09,224.8
4,581.3,460.7,37.13,224.5
5,581.6,401.9,37.24,220.1
6,541.3,432.6,37.29,213.9
7,1231.4,130.8,29.53,97.7
8,1169.7,73.4,26.3,75.3
9,1252.8,52.1,27.09,75.1
10,1206.7,52.3,27.52,78.1
11,1279.4,65.5,27.54,79.9
12,1027.3,65.3,27.53,78.1
13,472.5,87.4,25.22,71.4
14,1243.0,55.2,27.51,75.7
15,487.6,167.6,36.35,169.8
16,544.5,345.1,37.5,175.8
17,1659.5,328.7,37.75,155.4
18,1662.1,322.8,37.8,151.0
19,1660.8,335.1,37.77,161.7
20,589.3,322.1,37.73,164.5
21,1486.1,364.9,35.35,156.3
22,566.7,336.3,35.23,191.0
23,1625.6,422.0,35.11,205.0
24,1553.6,474.2,33.02,180.5
25,1468.9,440.2,34.95,210.4
26,1467.6,432.7,34.92,214.8
27,561.5,420.2,34.91,212.3
28,569.0,427.1,34.94,209.8
29,570.0,351.4,35.0,204.2
30,1557.3,355.7,33.1,168.7
31,1292.2,171.8,31.01,139.4
32,620.6,110.5,30.07,94.3
33,557.2,64.8,30.9,111.6
34,578.1,55.9,30.94,109.5
35,558.3,66.2,30.95,111.4
36,578.1,74.3,30.94,109.0
37,546.0,95.6,30.53,100.2
38,1298.3,85.2,31.0,116.8
39,568.1,231.8,35.32,185.4
40,588.7,327.8,35.38,149.2
41,592.6,322.2,36.43,147.9
42,655.3,314.6,36.45,147.1
43,572.6,347.0,35.59,147.6
44,571.6,348.8,35.53,152.0
45,1429.5,352.1,35.1,181.8
46,567.4,408.3,34.95,203.4
47,1417.1,493.3,34.8,216.3
48,1413.0,501.2,34.63,227.7
49,1410.8,501.8,34.51,228.3
50,1409.8,505.4,34.44,223.9
51,569.1,501.9,34.48,224.4
52,1620.2,475.7,34.68,220.7
53,564.7,415.7,34.79,212.6
54,567.6,407.1,34.97,170.2
55,543.7,174.2,33.96,164.5
56,559.8,94.4,30.99,98.5
57,485.5,76.1,31.01,99.0
58,561.6,57.7,31.03,103.6
59,561.6,68.9,31.03,104.8
60,485.7,93.1,31.02,101.9
61,580.5,95.5,30.71,92.4
62,484.1,89.9,31.01,101.5
63,570.2,246.5,35.12,180.6
64,590.4,320.6,36.39,152.4
65,552.3,324.1,39.02,149.0
66,552.6,316.0,39.04,148.9
67,1499.3,322.7,37.04,150.2
68,1496.2,362.2,35.69,152.7
69,1642.7,333.6,36.02,186.8
70,568.1,418.7,34.82,199.1
71,565.8,484.8,34.69,210.7
72,1415.5,514.6,34.59,222.8
73,1413.1,516.9,34.54,222.3
74,569.9,512.9,34.51,222.9
75,559.5,509.9,34.51,221.5
76,573.2,488.0,34.55,217.8
77,565.5,422.9,34.66,191.8
78,546.5,347.1,35.89,180.9
79,1319.2,167.4,33.27,153.0
80,1289.3,90.9,30.86,93.7
81,586.2,87.0,30.87,91.5
82,561.7,97.1,30.89,94.8
83,1270.7,93.8,30.89,97.3
84,560.7,70.7,30.88,95.0
85,561.8,58.0,30.89,85.5
86,560.6,62.4,30.88,90.9
87,1491.9,197.2,34.99,159.7
88,587.1,329.2,36.08,145.6
89,899.5,327.5,49.23,147.5
90,590.5,319.9,38.33,148.1
91,589.4,315.7,36.22,148.5
92,588.1,332.4,36.14,153.2
93,590.1,345.0,36.88,178.9
94,649.1,332.9,36.72,192.8
95,488.1,408.4,36.57,212.9
96,1474.7,463.5,36.33,218.5
97,486.0,474.3,36.26,221.6
98,485.6,475.9,36.23,222.2
99,643.1,451.2,36.23,219.8
100,582.8,352.0,36.43,196.1
101,1477.6,342.2,36.55,186.8
102,587.8,350.2,36.74,183.2
103,566.5,196.9,35.3,197.0
104,580.2,97.1,31.04,101.0
105,560.4,124.6,31.06,99.5
106,580.7,132.5,31.06,102.9
107,1270.5,130.3,31.07,105.2
108,548.8,127.7,30.68,93.5
109,1320.8,101.1,29.19,75.6
110,580.7,146.8,30.38,79.2
111,1491.5,222.9,36.73,175.6
112,558.7,333.5,38.63,170.7
113,561.7,312.9,39.09,151.6
114,562.0,312.3,39.1,151.0
115,560.9,330.5,38.93,151.8
116,559.8,334.8,38.7,164.5
117,1661.0,321.8,39.77,203.8
118,1653.7,351.9,39.6,213.5
119,1647.0,385.5,39.45,256.0
120,1642.8,416.4,39.13,271.3
121,643.8,444.4,37.97,265.1
122,643.2,459.5,37.94,267.8
123,1638.4,435.6,39.03,267.1
124,1640.5,333.5,39.29,231.1
125,1645.9,331.9,39.42,213.1
126,564.5,324.9,39.62,197.1
127,526.0,152.2,34.81,161.2
128,544.8,68.8,32.12,104.3
129,1412.4,73.8,32.12,104.3
130,476.5,86.6,32.13,108.2
131,544.9,93.5,32.12,110.5
132,476.1,88.3,32.1,108.2
133,483.9,59.8,31.51,94.3
134,1257.9,87.5,32.08,99.6
135,532.1,187.4,39.71,193.2
136,1820.8,311.5,37.75,180.8
137,1831.0,327.0,37.96,169.4
138,585.7,321.2,37.97,173.3
139,568.6,317.2,37.89,179.6
140,583.5,328.7,37.83,182.8
141,557.6,322.9,38.32,186.0
142,564.2,359.8,38.18,161.3
143,553.8,331.8,38.06,215.4
144,552.4,386.4,37.97,221.8
145,551.4,372.9,37.89,221.5
146,1638.8,367.1,37.85,217.6
147,550.6,360.2,37.84,210.8
148,1638.8,400.8,37.85,206.4
149,637.0,350.6,37.9,201.5
150,638.4,326.6,37.99,198.6
151,480.0,188.0,31.28,130.4
152,557.4,45.0,30.16,81.5
153,478.1,53.0,30.21,82.0
154,478.3,51.9,30.22,84.9
155,474.9,51.6,30.22,85.4
156,558.0,67.1,30.2,84.9
157,1210.5,42.6,28.04,75.4
158,477.4,41.9,30.13,78.4
159,541.4,137.4,35.67,163.1
160,567.0,327.0,38.14,167.0
161,558.3,325.3,38.36,163.7
162,645.8,323.3,38.42,162.4
163,558.6,330.6,38.38,169.1
164,557.7,326.5,38.32,174.6
165,556.6,378.6,38.6,192.9
166,554.7,372.2,38.48,197.6
167,1645.7,345.7,38.36,202.9
168,1641.9,388.5,38.28,219.8
169,531.6,395.4,38.21,221.8
170,531.0,356.7,38.18,224.9
171,530.9,409.5,38.17,226.8
172,550.3,371.0,38.18,228.5
173,550.9,375.2,38.21,213.7
174,552.0,393.8,38.29,217.7
175,554.5,161.6,30.35,120.6
176,1219.7,52.0,27.23,82.1
177,1233.6,53.8,27.7,84.1
178,1281.7,61.4,27.72,87.7
179,1228.8,68.3,27.72,88.9
180,1261.7,70.5,27.71,88.3
181,1179.9,100.4,26.74,85.1
182,1227.7,60.4,27.45,85.1
183,573.0,155.5,35.01,182.5
184,554.3,348.9,38.45,208.4
185,558.1,323.8,38.7,166.7
186,559.3,312.9,38.78,163.2
187,558.9,305.5,38.76,166.5
188,558.0,329.5,38.7,174.0
189,556.5,349.5,38.85,199.9
190,1649.4,404.5,38.65,212.2
191,1643.7,446.5,38.52,230.0
192,551.1,458.7,38.27,236.6
193,562.4,434.4,38.23,238.9
194,550.2,443.8,38.21,237.8
195,550.4,421.8,38.22,238.2
196,1640.2,357.9,38.44,232.9
197,553.4,347.4,38.59,210.0
198,557.1,332.1,38.9,201.6
199,1644.9,165.0,36.42,183.4
200,1261.7,69.9,33.0,111.4
201,1247.7,68.1,32.99,111.0
202,527.3,88.1,32.99,114.8
203,1432.5,87.6,32.97,118.4
204,615.7,93.0,32.95,117.6
205,1412.2,124.0,32.3,106.8
206,546.6,85.5,32.92,107.8
207,557.7,233.8,38.88,171.6
208,558.2,343.6,39.06,176.6
209,561.7,328.3,40.61,196.9
210,562.1,312.9,40.64,198.4
211,561.1,334.0,39.48,188.3
212,560.0,327.6,39.17,195.8
213,607.6,307.0,40.85,238.9
214,1240.1,370.9,38.94,222.8
215,553.4,413.0,38.79,259.1
216,1232.2,445.9,38.7,264.2
217,1230.4,462.1,38.48,256.3
218,550.9,470.9,38.45,257.0
219,1639.4,443.8,38.46,263.2
220,551.8,434.5,38.68,247.1
221,553.9,374.2,38.82,220.6
222,1659.0,347.1,40.81,229.3
223,579.2,164.1,36.21,201.6
224,568.5,75.4,32.48,138.9
225,1247.4,70.5,32.46,135.7
226,567.9,66.2,32.45,138.8
227,1251.9,87.9,32.43,146.2
228,476.3,98.5,32.42,144.7
229,480.6,92.0,31.22,116.0
230,1258.1,86.7,32.38,128.5
231,557.6,212.0,39.08,201.1
232,1188.1,345.5,41.09,218.1
233,584.0,324.1,42.56,198.3
234,1672.5,301.4,41.58,198.6
235,566.9,333.9,39.29,202.4
236,565.8,341.5,39.22,216.0
237,538.8,362.2,38.97,204.9
238,555.9,434.7,38.8,243.6
239,553.7,414.8,38.65,271.2
240,532.9,457.2,38.36,281.7
241,486.4,478.6,37.71,268.4
242,643.7,483.1,37.36,261.0
243,1640.0,477.9,38.06,262.7
244,552.0,421.8,38.53,249.1
245,1648.7,404.1,38.68,243.2
246,538.0,351.2,38.91,201.9
247,559.3,301.8,39.03,221.0
248,527.7,152.9,34.44,190.4
249,568.4,118.1,33.94,152.0
250,568.1,99.6,33.92,150.6
251,1260.2,121.4,33.09,150.7
252,544.8,135.8,32.66,149.9
253,1310.6,142.3,31.98,141.6
254,544.4,142.0,32.91,147.8
255,532.4,257.4,38.92,229.9
256,1661.7,342.6,38.97,190.5
257,1671.4,323.2,39.29,180.5
258,580.8,327.9,47.3,185.0
259,561.2,320.2,39.16,181.7
260,560.2,318.0,39.09,185.4
261,549.0,409.7,37.8,187.6
262,642.4,454.6,37.65,197.2
263,647.1,437.2,37.5,216.1
264,645.2,455.5,37.39,254.7
265,551.5,453.0,37.34,240.1
266,636.5,442.6,37.31,243.2
267,643.9,430.2,37.32,248.1
268,552.0,425.2,37.37,240.3
269,639.6,400.0,37.49,195.4
270,557.1,337.1,37.97,178.4
271,492.7,189.4,37.81,192.6
272,1247.0,82.2,33.14,126.9
273,1246.9,76.4,33.13,127.2
274,1260.6,61.6,33.13,132.6
275,1246.4,59.1,33.12,135.7
276,1246.2,91.1,33.02,133.3
277,1246.4,107.4,32.21,121.0
278,1320.8,100.3,32.53,122.5
279,644.8,167.9,37.79,178.6
280,558.7,334.5,38.88,175.6
281,561.5,336.3,39.08,182.7
282,562.1,330.6,39.32,187.1
283,561.2,327.4,39.05,167.1
284,647.0,327.6,38.98,153.5
285,652.4,362.8,37.8,166.0
286,649.5,427.7,37.47,209.4
287,647.0,454.9,37.33,198.5
288,645.2,467.6,37.23,221.9
289,644.3,477.6,37.17,223.4
290,636.5,464.3,37.15,222.4
291,636.6,462.5,37.15,217.1
292,583.5,439.2,37.2,201.0
293,639.6,358.6,37.32,164.8
294,595.4,334.1,39.08,154.0
295,569.5,185.6,34.06,138.4
296,545.9,83.7,31.8,92.7
297,1261.6,85.4,31.79,93.8
298,492.4,60.5,31.79,99.3
299,1247.0,80.6,31.77,101.7
300,1246.2,87.7,31.75,100.8
301,548.6,94.3,30.67,78.6
302,544.6,89.9,31.01,88.0
303,651.6,149.4,37.53,176.4
304,590.3,345.7,37.79,156.9
305,573.3,340.8,42.22,150.2
306,1670.6,332.8,39.37,156.2
307,560.4,320.4,38.29,164.0
308,549.9,334.7,37.86,165.0
309,589.9,366.7,37.75,180.9
310,642.0,404.7,37.61,202.9
311,646.9,421.3,36.96,214.0
312,645.1,393.8,36.86,227.5
313,644.0,426.7,36.8,229.1
314,643.4,447.2,36.77,223.1
315,541.3,423.9,36.76,224.1
