,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,540.0,431.7,34.65,294.2
1,571.7,447.8,34.61,297.4
2,574.6,439.9,34.05,289.5
3,526.3,450.3,34.04,251.3
4,574.7,449.7,34.05,290.4
5,572.2,454.6,34.64,14.5
6,573.0,426.5,34.69,294.1
7,1025.6,256.5,28.19,54.6
8,1184.7,165.1,24.82,31.3
9,1286.2,139.9,26.59,8.7
10,1174.0,133.1,26.58,4.6
11,1186.6,131.7,26.58,4.5
12,1173.5,130.0,26.57,3.8
13,10.0,124.5,9.57,3.1
14,1322.1,125.3,26.53,3.2
15,552.1,276.4,34.74,6.8
16,617.4,373.4,34.87,75.5
17,555.4,382.1,34.96,92.2
18,619.1,382.5,34.97,87.0
19,549.7,383.0,34.94,85.7
20,618.0,380.2,34.9,78.6
21,566.3,385.3,33.1,43.1
22,564.9,390.1,33.01,6.6
23,563.6,382.3,32.94,6.6
24,562.7,383.1,32.88,6.6
25,1431.5,378.6,32.86,6.6
26,562.2,397.5,32.86,6.6
27,562.6,395.8,32.88,6.6
28,563.2,383.4,32.92,6.6
29,564.5,387.4,32.99,6.6
30,566.1,360.2,33.08,6.6
31,1419.7,243.6,31.01,174.2
32,1241.4,196.1,30.22,5.2
33,558.0,213.0,30.62,3.9
34,559.2,204.9,30.69,3.9
35,481.9,200.3,30.67,4.3
36,577.4,192.9,30.43,4.9
37,556.9,197.2,30.19,5.9
38,557.6,272.8,30.7,5.6
39,567.3,320.4,33.16,4.7
40,569.1,370.6,34.32,79.3
41,570.6,369.6,34.93,83.6
42,570.0,367.4,34.43,72.7
43,569.3,368.7,33.27,16.7
44,568.3,404.0,33.22,17.5
45,1311.4,401.9,32.58,182.7
46,574.4,421.1,32.46,238.5
47,573.0,430.0,32.38,277.2
48,537.1,451.8,32.34,287.2
49,536.7,441.3,32.03,294.8
50,562.7,456.9,31.9,292.6
51,537.2,436.3,32.16,293.0
52,573.5,436.1,32.41,250.3
53,575.9,415.9,32.55,9.6
54,578.6,369.1,32.71,205.2
55,588.1,244.0,31.02,166.6
56,587.6,203.8,30.31,4.3
57,587.6,170.0,30.31,3.9
58,579.2,157.0,30.3,3.7
59,586.9,171.3,30.27,4.0
60,578.2,184.0,30.14,3.8
61,1303.3,167.1,29.36,3.5
62,545.8,215.9,30.22,3.7
63,577.7,365.1,32.65,4.2
64,569.9,373.2,33.08,20.0
65,571.2,388.9,35.02,35.0
66,570.7,408.6,34.99,25.2
67,570.0,426.5,33.25,60.6
68,1317.0,409.1,32.72,84.4
69,577.2,404.8,32.87,138.3
70,1293.0,453.7,32.57,225.2
71,573.9,460.2,32.04,227.1
72,537.9,466.4,31.99,275.1
73,537.6,485.0,31.97,273.4
74,537.6,475.5,31.97,275.8
75,573.0,466.0,31.99,273.2
76,1306.1,406.2,32.05,230.2
77,1295.7,421.9,32.18,67.8
78,579.2,388.8,32.98,99.4
79,1277.6,270.4,30.79,98.5
80,561.0,178.7,30.19,3.6
81,560.6,179.8,30.17,3.4
82,560.1,182.8,30.14,3.9
83,559.8,180.3,30.13,4.0
84,1423.8,197.4,30.11,3.8
85,1272.5,192.6,30.08,3.2
86,558.0,235.5,30.08,3.3
87,578.2,285.8,32.28,9.8
88,579.8,388.7,33.65,14.6
89,549.4,386.2,67.5,77.1
90,1285.2,382.5,34.16,21.7
91,579.7,389.3,33.01,71.9
92,568.8,390.9,32.95,74.8
93,586.4,387.5,34.22,85.7
94,543.0,403.6,34.08,6.6
95,570.3,415.3,33.99,285.5
96,569.5,414.2,33.75,286.5
97,558.7,411.3,32.79,280.1
98,558.6,396.4,32.76,278.9
99,577.7,392.0,33.94,75.2
100,636.6,377.9,34.01,34.2
101,543.9,369.7,34.15,75.0
102,587.9,376.6,34.31,75.9
103,543.7,251.7,32.39,134.5
104,1275.9,221.4,29.6,4.2
105,1275.5,222.9,29.59,4.3
106,1275.2,235.9,29.58,4.3
107,1303.6,228.8,29.55,4.9
108,1242.0,239.4,29.51,4.3
109,1227.7,214.5,25.94,3.5
110,1298.4,245.1,29.48,3.2
111,575.1,265.7,34.08,96.9
112,643.1,389.2,36.43,65.9
113,645.2,385.8,36.55,63.2
114,644.7,388.1,36.52,81.9
115,725.1,390.7,36.48,91.5
116,570.5,397.4,36.43,150.6
117,600.6,391.4,36.83,216.0
118,572.6,403.8,36.7,306.7
119,571.4,399.4,36.62,329.5
120,570.6,401.2,36.36,353.2
121,570.5,431.8,35.32,365.0
122,570.5,420.7,35.32,373.2
123,570.8,424.7,35.97,374.8
124,543.0,407.2,36.65,278.4
125,545.1,417.0,36.79,270.9
126,547.2,400.4,36.93,240.1
127,526.3,207.6,995.73,88.6
128,1427.9,219.2,766.69,42.3
129,1319.8,206.7,31.25,16.0
130,1318.9,217.7,31.23,34.9
131,1317.5,235.6,31.2,29.3
132,1316.4,225.5,31.17,39.7
133,1241.1,208.0,30.97,19.7
134,481.0,239.2,31.14,3.7
135,721.1,309.8,36.91,6.2
136,725.5,421.2,37.01,117.1
137,787.4,420.8,164.04,93.0
138,729.4,412.5,37.03,65.6
139,562.8,414.0,36.96,60.9
140,723.5,416.1,36.91,60.3
141,545.5,431.3,35.62,91.4
142,544.0,412.4,35.52,84.4
143,542.6,417.0,35.43,92.4
144,541.7,423.3,35.37,100.0
145,541.1,428.5,35.33,103.3
146,541.0,434.5,35.32,104.5
147,541.2,432.6,35.34,108.8
148,541.5,453.5,35.36,123.4
149,542.5,438.3,35.42,118.2
150,543.8,431.0,35.51,68.4
151,473.9,373.2,31.13,16.0
152,585.5,175.1,29.86,3.6
153,557.9,160.7,29.89,3.1
154,523.0,164.2,29.89,3.5
155,558.5,171.3,29.87,3.7
156,558.1,167.5,29.85,3.6
157,1239.6,271.8,27.67,3.1
158,474.1,249.3,29.82,3.2
159,586.3,290.7,34.94,6.3
160,546.6,400.4,35.69,100.9
161,547.9,419.5,35.78,110.3
162,547.8,436.7,35.77,107.9
163,547.3,427.1,35.74,105.2
164,546.5,413.3,35.69,64.2
165,586.8,392.1,35.68,78.2
166,638.9,413.6,35.57,52.0
167,575.8,418.3,35.48,7.3
168,475.5,405.8,35.43,7.6
169,475.2,419.1,35.41,7.7
170,574.6,408.3,35.41,8.0
171,492.8,413.2,35.41,7.7
172,518.2,422.9,35.44,10.7
173,494.0,402.9,35.5,10.2
174,491.1,379.6,35.57,13.5
175,1260.4,261.6,29.33,47.6
176,1223.9,209.3,26.8,13.7
177,1224.9,229.0,26.95,4.7
178,1183.5,233.0,26.94,3.7
179,1190.1,254.0,26.94,3.9
180,1264.1,221.9,26.92,3.8
181,576.6,267.8,26.29,3.5
182,1221.9,273.3,26.55,4.0
183,545.2,278.3,34.06,6.6
184,546.7,389.5,35.76,30.1
185,644.2,390.2,35.86,43.7
186,644.5,387.9,35.88,53.2
187,589.6,394.5,35.85,50.4
188,643.2,391.0,35.8,45.6
189,587.2,400.0,36.13,91.5
190,639.5,408.8,36.02,98.0
191,583.9,401.8,35.93,6.8
192,518.4,423.8,35.87,274.0
193,582.8,422.9,35.85,294.1
194,582.9,414.5,35.86,251.9
195,609.0,415.1,35.89,34.2
196,584.5,422.9,35.96,6.6
197,641.4,406.8,36.13,97.8
198,589.9,409.2,36.3,93.8
199,527.0,281.7,34.72,146.7
200,488.2,230.8,32.7,3.5
201,488.1,243.7,32.69,3.1
202,1259.0,263.4,32.66,3.4
203,487.3,271.9,32.63,3.7
204,1257.1,259.3,32.61,3.6
205,471.6,240.0,32.09,3.1
206,486.3,248.2,32.57,3.1
207,537.4,296.5,36.23,5.8
208,645.1,396.7,36.46,107.4
209,646.8,402.1,38.2,113.6
210,571.5,403.5,38.16,106.8
211,644.9,400.3,36.45,97.8
212,566.0,395.5,36.32,91.2
213,692.3,448.9,37.7,7.3
214,565.7,437.9,36.48,87.1
215,560.8,443.9,36.38,252.8
216,579.1,457.1,36.32,285.8
217,578.7,440.7,36.15,319.7
218,578.7,439.4,36.14,316.1
219,579.1,432.5,36.17,287.5
220,580.3,426.6,36.4,98.7
221,563.4,442.8,36.56,91.3
222,694.6,390.2,37.82,7.6
223,567.7,277.5,34.64,112.3
224,615.6,265.3,32.04,33.6
225,472.5,270.7,32.02,23.3
226,559.2,262.4,31.98,13.6
227,558.7,273.3,31.76,5.2
228,542.9,286.5,31.71,4.6
229,586.4,216.5,30.75,3.5
230,470.8,266.0,31.76,3.3
231,584.2,263.0,36.64,6.0
232,544.7,415.4,38.38,26.0
233,514.3,415.8,38.7,46.3
234,546.1,414.6,38.48,42.5
235,622.5,397.0,38.43,37.6
236,566.2,407.6,38.37,48.5
237,721.6,423.2,36.69,231.4
238,491.9,410.6,36.56,270.7
239,490.8,424.5,36.47,298.1
240,490.1,422.2,36.22,310.4
241,489.9,420.3,35.32,309.5
242,489.9,432.5,35.27,303.8
243,571.8,417.6,35.45,299.3
244,491.2,403.5,36.5,291.4
245,493.2,397.7,36.65,246.1
246,724.6,405.8,579.77,215.4
247,597.9,295.2,1702.48,231.2
248,568.0,187.7,976.59,5.5
249,1260.9,186.5,289.29,3.1
250,1259.8,186.2,33.05,3.4
251,1244.8,194.7,32.96,3.7
252,487.2,186.4,32.66,3.6
253,559.2,239.8,31.12,3.4
254,543.4,224.5,32.21,4.2
255,595.4,328.7,36.75,180.5
256,599.7,412.4,36.86,72.6
257,645.3,408.2,1068.06,25.8
258,49.1,403.7,1332.8,67.4
259,617.5,409.9,968.99,112.0
260,643.1,398.6,468.66,53.8
261,589.1,383.1,35.1,217.6
262,1404.8,382.3,34.98,238.8
263,585.6,380.7,34.89,248.6
264,543.7,388.6,34.84,267.0
265,543.5,387.2,34.83,290.5
266,543.6,396.2,34.83,310.4
267,1400.3,385.2,34.86,258.8
268,586.4,383.8,34.94,267.2
269,590.4,378.6,35.09,216.4
270,591.8,381.1,1943.2,188.2
271,497.4,260.6,2801.87,171.2
272,1249.8,134.9,1762.41,3.4
273,1248.6,143.2,705.03,3.0
274,1247.3,149.1,113.87,3.3
275,588.7,161.1,32.54,3.6
276,485.3,166.7,32.51,3.4
277,1243.4,175.3,31.57,3.0
278,486.6,209.8,32.46,3.1
279,494.5,238.3,35.09,3.5
280,590.7,383.1,525.54,38.3
281,826.2,400.9,2265.09,79.3
282,592.5,380.8,2259.13,44.2
283,598.0,380.0,1647.72,46.7
284,677.8,383.6,1030.19,112.6
285,1550.5,392.0,35.91,192.4
286,574.7,455.8,35.78,224.9
287,584.1,442.8,35.69,228.9
288,584.8,445.6,35.64,268.4
289,572.3,437.1,35.62,269.5
290,514.6,426.9,35.62,249.6
291,599.6,391.2,35.65,198.0
292,1600.9,407.1,35.72,9.9
293,596.2,394.0,35.86,136.9
294,592.6,374.4,2164.18,203.8
295,528.7,212.0,3429.21,49.6
296,531.6,192.0,2670.96,3.7
297,488.6,174.4,1424.2,3.1
298,488.2,172.5,772.75,3.4
299,472.5,186.1,31.62,3.7
300,609.0,196.2,31.29,3.5
301,558.7,147.8,30.43,3.0
302,559.4,195.8,30.57,3.0
303,555.5,272.4,35.8,24.4
304,545.3,409.9,82.62,61.2
305,871.8,390.8,1369.28,68.2
306,625.4,405.8,929.3,155.8
307,1043.3,397.8,36.12,147.2
308,741.8,405.7,35.91,177.8
309,624.7,390.8,36.46,200.0
310,612.7,403.1,36.34,233.8
311,736.2,406.4,36.26,282.6
312,545.3,418.0,36.21,255.1
313,1536.2,418.9,36.19,289.1
314,1536.1,413.7,36.19,295.2
315,572.6,421.2,36.19,288.6
316,549.6,432.1,36.22,269.1
317,550.7,400.2,36.29,207.4
318,575.8,376.0,36.38,197.9
319,546.3,258.7,34.1,128.8
320,1255.8,209.7,32.09,4.0
321,486.8,202.8,32.12,3.2
322,543.4,194.3,32.1,3.4
323,1254.7,210.9,32.07,3.6
324,1253.4,204.2,32.03,3.5
325,541.7,206.4,31.9,3.1
326,541.4,272.0,31.98,3.1
327,1544.1,358.4,36.38,3.7
328,553.2,384.5,36.47,134.0
329,1134.8,391.4,36.57,147.7
330,1552.2,388.1,36.57,194.8
331,1550.5,394.2,36.53,211.7
332,562.8,394.2,36.49,243.3
333,1818.4,398.6,36.77,254.9
334,550.7,431.0,36.65,275.6
335,1397.4,429.1,36.41,298.7
336,542.0,431.8,35.27,306.6
337,541.5,437.9,35.23,308.1
338,541.5,438.5,34.72,307.9
339,541.6,434.1,34.73,307.7
340,1394.6,429.9,35.25,306.9
341,1397.3,426.1,35.5,284.7
342,1540.3,409.2,36.48,289.5
343,569.8,307.2,34.35,34.1
344,1253.2,257.7,33.04,3.2
345,524.1,260.6,33.05,3.0
346,1405.3,271.6,32.66,3.3
347,1253.3,262.7,33.05,3.6
348,1253.0,259.4,33.04,3.4
349,527.0,269.7,33.02,3.0
350,564.0,287.1,33.02,3.0
351,545.8,338.9,35.23,5.6
352,563.0,414.3,36.86,108.4
353,564.3,423.6,713.24,111.0
354,564.5,421.1,260.81,105.7
355,1803.3,407.5,36.91,102.3
356,563.1,398.5,36.87,116.5
357,1546.7,425.9,36.8,209.4
358,560.2,416.9,36.69,216.0
