,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,538.3,173.7,33.48,164.3
1,536.9,160.1,33.39,194.1
2,561.5,153.1,33.34,212.0
3,535.6,169.8,33.31,207.9
4,535.3,175.6,33.29,210.3
5,535.5,169.7,33.3,200.6
6,531.5,189.0,33.11,182.7
7,0.0,28.7,0.01,23.6
8,0.0,13.1,0.01,12.2
9,0.0,12.3,0.01,12.1
10,0.0,13.7,0.01,13.2
11,0.0,14.6,0.01,13.9
12,0.0,13.0,0.01,13.3
13,0.0,11.3,0.01,11.1
14,0.0,12.4,0.01,12.2
15,531.2,43.1,33.11,67.3
16,552.8,91.7,35.05,144.4
17,619.1,93.2,35.26,128.6
18,557.5,91.2,35.35,121.8
19,557.0,95.6,35.32,118.0
20,535.0,96.9,35.23,128.2
21,569.0,102.6,34.43,135.3
22,531.3,106.9,34.29,143.4
23,528.8,102.6,34.13,158.3
24,0.0,107.2,33.96,179.0
25,584.9,123.4,33.9,192.5
26,489.8,127.8,33.87,191.4
27,522.5,115.1,33.86,180.8
28,522.8,134.6,33.88,184.9
29,517.3,105.1,33.94,166.2
30,571.0,103.2,34.03,166.8
31,1143.1,20.6,22.26,35.6
32,0.0,15.5,0.01,22.5
33,1205.9,15.6,22.32,23.0
34,1208.1,15.0,22.38,24.5
35,1150.7,13.9,22.41,25.9
36,1210.0,14.7,22.42,25.2
37,9.8,15.2,1.95,22.1
38,1260.8,16.4,22.44,20.8
39,528.1,67.5,34.17,113.6
40,571.3,108.7,34.57,132.6
41,575.6,102.2,34.83,117.0
42,623.0,97.8,34.77,119.9
43,571.7,102.0,34.59,128.1
44,570.1,96.3,34.5,130.0
45,616.1,131.7,33.36,133.1
46,0.0,124.0,33.21,145.1
47,0.0,127.4,33.07,158.1
48,1504.1,134.6,32.96,170.9
49,1519.0,144.9,32.91,177.7
50,1500.3,151.9,32.88,180.1
51,1438.5,150.1,32.88,178.6
52,614.9,138.8,32.91,171.5
53,609.8,144.0,33.01,155.6
54,612.9,134.9,33.18,136.5
55,470.4,59.3,28.28,46.3
56,493.5,24.2,25.18,24.1
57,1242.5,21.6,25.22,24.3
58,1244.4,21.5,25.26,28.6
59,1245.8,22.7,25.28,27.2
60,1246.4,22.3,25.3,27.0
61,1239.5,22.2,24.06,19.2
62,1430.6,23.0,25.32,23.4
63,1616.5,75.2,32.9,82.0
64,622.1,110.9,34.28,96.4
65,1611.4,113.2,34.51,90.9
66,576.2,109.9,34.42,91.9
67,1675.1,114.5,34.24,96.7
68,1670.0,111.7,34.13,102.6
69,544.0,111.6,34.57,109.4
70,1656.0,118.8,34.41,118.9
71,1649.5,142.7,34.27,128.1
72,1507.0,137.0,34.17,136.7
73,1545.0,154.7,34.11,142.9
74,536.2,160.8,34.07,146.2
75,1579.4,139.6,34.07,143.9
76,536.5,148.9,34.1,138.8
77,1567.4,145.1,34.2,128.2
78,1575.3,137.5,34.38,111.1
79,489.7,61.9,26.1,42.3
80,1268.3,19.2,24.2,20.6
81,1269.4,17.0,24.69,20.5
82,491.5,17.7,25.43,25.4
83,492.2,21.4,25.46,27.1
84,492.5,18.1,25.48,24.4
85,1293.8,18.8,24.78,17.1
86,1431.9,19.7,25.5,15.2
87,547.6,51.3,34.8,70.6
88,1580.7,98.4,34.9,77.6
89,1189.1,99.8,36.91,81.4
90,1586.0,94.1,35.01,80.4
91,11.9,95.9,34.81,89.0
92,1572.2,98.0,34.71,98.1
93,1566.2,108.7,36.2,111.5
94,1558.8,110.4,36.03,125.4
95,0.0,109.8,35.88,131.4
96,0.0,117.9,35.78,139.5
97,1545.3,126.0,35.71,143.9
98,1561.5,127.0,35.67,150.3
99,1579.6,124.3,35.67,149.4
100,1516.0,117.7,35.7,140.7
101,1580.5,112.6,35.81,127.9
102,1575.5,109.0,35.99,113.4
103,491.3,61.3,28.7,52.0
104,10.0,15.4,8.08,20.4
105,1155.2,15.8,8.09,19.2
106,10.2,16.5,8.1,20.6
107,10.0,16.2,8.11,20.9
108,10.2,15.1,8.12,19.1
109,0.0,14.6,1.38,17.6
110,10.0,14.8,8.12,17.1
111,531.9,60.1,31.15,60.3
112,12.7,102.7,36.51,96.0
113,686.3,100.1,36.74,87.7
114,525.9,99.6,36.64,91.2
115,522.9,100.7,36.43,97.3
116,0.0,108.5,36.32,101.0
117,676.3,103.5,34.24,105.9
118,0.0,116.0,34.08,114.0
119,1465.5,121.5,33.94,124.5
120,1461.4,130.6,33.84,135.3
121,1458.6,133.1,33.78,145.9
122,12.3,137.6,33.74,142.4
123,485.3,136.4,33.74,139.0
124,12.3,136.1,33.76,135.3
125,12.3,127.4,33.86,124.7
126,12.4,125.5,34.04,115.3
127,1172.4,43.3,23.14,25.1
128,10.0,11.0,9.2,16.3
129,1228.0,10.3,22.48,16.7
130,491.2,11.3,22.51,18.2
131,491.7,12.7,22.53,18.9
132,1230.8,11.2,22.53,18.0
133,1157.2,11.3,20.83,16.1
134,1266.7,11.9,22.54,17.0
135,477.0,43.8,30.84,58.5
136,12.8,105.8,34.47,107.6
137,12.8,107.1,34.68,100.5
138,13.4,106.0,34.58,103.7
139,494.8,103.3,34.4,114.0
140,12.6,108.8,34.31,121.4
141,13.2,110.9,36.35,133.6
142,12.4,119.3,36.2,145.4
143,488.4,142.0,36.09,158.8
144,515.1,120.6,36.02,164.6
145,513.8,115.1,35.93,180.2
146,496.3,137.2,35.88,180.5
147,496.0,154.4,35.86,180.0
148,496.0,126.8,35.86,167.7
149,12.6,146.4,35.9,145.2
150,12.5,119.0,35.97,146.3
151,1215.5,27.5,22.02,21.4
152,1217.9,11.8,21.82,13.7
153,1221.2,12.8,21.88,13.9
154,1356.3,12.3,21.91,14.7
155,1224.4,12.6,21.94,17.8
156,1225.2,13.3,21.95,17.1
157,10.1,11.8,9.28,13.1
158,1212.4,12.6,21.94,13.4
159,527.4,39.1,31.09,48.4
160,476.9,94.0,36.35,127.1
161,12.7,98.6,36.54,120.1
162,12.7,95.8,36.64,115.2
163,480.0,96.7,36.59,119.1
164,12.6,98.8,36.5,125.1
165,571.6,104.3,35.15,131.1
166,475.6,137.8,35.01,140.7
167,473.8,136.5,34.88,153.2
168,12.5,126.8,34.76,165.3
169,1293.1,125.5,34.67,170.8
170,12.6,118.2,34.63,177.3
171,485.1,133.9,34.62,178.2
172,12.4,115.0,34.61,174.0
173,12.4,118.3,34.64,167.4
174,486.2,104.4,34.69,148.9
175,10.0,14.9,9.08,19.0
176,0.0,6.5,0.01,12.7
177,9.9,7.2,9.08,13.4
178,9.9,8.5,9.13,14.2
179,10.1,9.1,9.14,14.9
180,10.0,7.8,9.15,14.4
181,10.0,7.2,9.15,12.8
182,10.1,9.3,9.15,13.7
183,473.2,28.5,30.68,49.4
184,577.7,94.0,35.1,131.6
185,576.5,92.8,35.3,116.3
186,654.0,96.9,35.42,112.4
187,653.4,93.8,35.38,114.0
188,1628.1,94.6,35.29,122.6
189,1310.2,165.0,35.46,144.8
190,646.5,171.3,35.3,162.9
191,473.0,175.0,35.15,176.9
192,471.1,199.2,35.0,184.3
193,640.2,219.6,34.95,187.6
194,660.1,234.1,34.93,182.6
195,660.3,219.6,34.93,166.8
196,640.6,194.5,34.97,161.7
197,515.0,179.5,35.1,144.4
198,647.1,192.8,35.33,124.5
199,559.0,82.1,29.67,49.3
200,483.4,41.8,27.8,29.5
201,483.5,44.3,27.81,25.6
202,483.9,49.4,27.83,27.9
203,536.9,49.4,27.84,34.9
204,560.8,47.1,27.85,30.3
205,549.1,40.3,27.7,25.3
206,549.4,42.5,27.87,21.2
207,537.0,44.5,35.65,105.8
208,572.4,99.6,36.44,121.8
209,1485.9,93.3,37.93,112.6
210,651.8,92.0,36.61,115.2
211,654.1,99.5,36.41,130.9
212,694.7,100.8,36.3,133.1
213,634.5,102.0,36.91,173.3
214,646.6,109.8,36.73,193.4
215,638.4,121.2,36.59,206.4
216,636.7,149.7,36.49,217.8
217,641.3,170.2,36.43,219.4
218,648.2,167.3,36.39,224.5
219,1527.8,156.9,36.39,230.5
220,1529.4,130.4,36.43,222.7
221,643.6,107.6,36.56,197.4
222,641.3,118.6,36.79,174.4
223,476.7,77.7,28.14,66.6
224,495.3,19.8,26.89,36.2
225,495.2,22.0,26.88,34.1
226,495.5,22.9,26.9,34.4
227,495.8,20.3,26.91,40.4
228,549.0,17.6,26.92,42.1
229,1248.4,11.8,24.43,26.1
230,496.0,14.5,26.92,30.4
231,532.9,64.7,34.79,103.1
232,666.5,117.7,37.33,170.5
233,671.0,115.5,37.58,149.9
234,669.6,119.4,37.5,156.4
235,560.7,110.9,37.31,173.9
236,645.7,124.8,37.2,175.2
237,661.9,125.4,35.52,163.6
238,644.5,136.1,35.36,164.5
239,1536.6,141.3,35.21,182.9
240,636.9,153.0,35.12,203.7
241,660.8,154.3,35.05,204.2
242,652.6,145.4,35.02,214.2
243,526.9,141.7,35.02,203.4
244,639.1,135.7,35.06,187.6
245,641.3,141.0,35.18,172.6
246,687.8,145.3,35.39,140.4
247,665.8,87.3,35.53,128.5
248,560.1,40.2,29.87,65.1
249,495.5,30.6,29.58,54.9
250,526.7,30.3,29.59,53.5
251,493.9,35.4,29.6,53.5
252,494.0,30.2,29.6,53.2
253,548.9,37.5,28.49,46.7
254,494.1,37.2,29.61,59.5
255,561.0,71.2,35.68,131.1
256,674.4,108.3,35.78,154.4
257,699.9,106.6,36.02,137.7
258,669.7,112.9,35.94,139.1
259,666.2,112.7,35.75,153.2
260,664.4,109.3,35.66,156.1
261,644.5,113.0,35.69,161.4
262,641.7,120.8,35.53,186.8
263,684.7,127.6,35.38,168.6
264,654.5,138.7,35.27,202.3
265,653.4,149.9,35.21,206.6
266,638.5,160.5,35.18,203.5
267,634.6,133.8,35.18,201.1
268,639.0,130.9,35.21,171.9
269,683.3,120.0,35.31,152.4
270,535.1,112.8,35.51,147.6
271,525.1,37.7,31.71,82.5
272,494.7,18.4,28.32,36.7
273,494.8,19.1,28.33,37.7
274,473.1,21.4,28.35,39.6
275,487.9,23.4,28.38,38.5
276,488.3,22.6,28.4,35.7
277,549.4,20.4,27.51,31.8
278,482.9,17.5,28.44,26.4
279,528.8,42.9,32.65,67.9
280,542.0,107.1,35.97,138.9
281,670.9,104.5,36.16,117.0
282,669.5,104.7,36.08,129.9
283,666.0,103.1,35.89,142.1
284,736.0,105.2,35.8,139.5
285,0.0,106.0,36.32,145.9
286,666.5,122.1,36.15,158.5
287,0.0,107.4,36.01,171.6
288,654.4,120.6,35.91,184.2
289,530.6,140.2,35.85,186.5
290,652.7,112.5,35.81,196.5
291,656.3,129.7,35.82,189.7
292,530.4,121.6,35.84,187.1
293,662.8,108.6,35.95,168.3
294,705.7,106.4,36.17,140.2
295,0.0,45.6,0.01,25.6
296,0.0,24.5,0.01,12.7
297,0.0,23.5,0.01,12.8
298,0.0,30.3,0.01,15.3
299,0.0,31.0,0.01,15.0
300,0.0,28.7,0.01,15.6
301,0.0,14.2,0.0,12.3
302,0.0,14.5,0.01,12.6
303,528.2,43.2,32.48,55.0
304,541.6,115.5,36.75,123.2
305,544.7,111.5,36.95,116.3
306,561.9,111.1,36.86,118.5
307,593.8,116.0,36.66,121.7
308,557.4,122.1,36.56,126.7
309,590.3,138.1,36.44,131.8
310,553.2,106.6,36.29,142.1
311,540.4,132.4,36.15,150.5
312,534.2,115.0,36.08,161.1
313,555.0,135.3,35.99,169.3
