,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,0.0,204.4,0.0,0.0
1,0.0,182.8,0.0,0.0
2,0.0,187.9,0.0,0.0
3,0.0,301.3,0.0,0.0
4,0.0,215.0,0.0,0.0
5,0.0,230.3,0.0,0.0
6,0.0,273.4,0.0,0.0
7,0.0,238.9,0.0,0.0
8,0.0,97.2,0.0,0.0
9,0.0,90.6,0.0,0.0
10,0.0,92.0,0.0,0.0
11,0.0,90.4,0.0,0.0
12,0.0,103.0,0.0,0.0
13,0.0,92.4,0.0,0.0
14,0.0,97.3,0.0,0.0
15,0.0,210.2,0.0,0.0
16,744.5,195.9,22.32,0.0
17,1159.0,217.5,25.38,0.0
18,1139.3,241.0,25.24,0.0
19,1039.2,269.4,9.57,0.0
20,0.0,265.0,0.0,0.0
21,0.0,233.3,0.0,0.0
22,0.0,178.6,0.0,0.0
23,0.0,190.0,0.0,0.0
24,0.0,178.1,0.0,0.0
25,0.0,155.2,0.0,0.0
26,0.0,188.0,0.0,0.0
27,737.0,282.0,1.5,0.0
28,1027.2,304.3,14.23,0.0
29,528.7,249.5,23.65,0.0
30,1129.9,214.2,25.2,0.0
31,474.6,144.7,23.69,0.0
32,10.0,33.0,8.39,0.0
33,0.0,32.6,1.54,0.0
34,10.1,30.9,8.41,0.0
35,1250.0,31.5,22.92,0.0
36,476.4,31.9,22.63,0.0
37,10.1,28.0,8.4,0.0
38,10.0,28.2,8.39,0.0
39,492.9,89.2,26.95,0.0
40,1368.6,316.9,32.71,0.0
41,577.9,286.1,39.01,0.0
42,1262.6,286.5,60.29,6.0
43,748.9,317.2,12.13,0.0
44,747.5,333.6,10.51,0.0
45,746.0,337.2,8.42,0.0
46,743.1,431.5,1.62,0.0
47,741.3,494.1,1.86,0.0
48,0.0,541.1,1.53,0.0
49,0.0,452.8,0.0,0.0
50,0.0,395.3,0.0,0.0
51,0.0,449.1,0.0,0.0
52,0.0,388.1,0.0,0.0
53,0.0,340.2,0.0,0.0
54,0.0,350.6,0.0,0.0
55,0.0,280.5,0.0,0.0
56,0.0,132.8,0.0,0.0
57,0.0,105.0,0.0,0.0
58,0.0,70.7,1.5,0.0
59,747.4,49.1,6.93,0.0
60,746.8,41.9,5.35,0.0
61,0.0,46.4,1.54,0.0
62,0.0,48.0,1.54,0.0
63,0.0,152.5,0.0,0.0
64,747.8,315.4,1.54,0.0
65,1325.9,478.2,51.64,0.0
66,1257.6,466.1,30.37,0.0
67,747.6,265.3,9.99,0.0
68,745.6,319.9,1.51,0.0
69,0.0,277.0,0.0,0.0
70,0.0,208.8,0.0,0.0
71,0.0,179.4,0.0,0.0
72,0.0,144.2,0.0,0.0
73,0.0,182.7,0.0,0.0
74,0.0,169.4,0.0,0.0
75,0.0,205.5,0.0,0.0
76,0.0,190.3,0.0,0.0
77,0.0,204.2,0.0,0.0
78,747.6,301.1,0.0,0.0
79,0.0,211.8,0.0,0.0
80,0.0,37.1,0.0,0.0
81,748.5,89.9,8.33,0.0
82,748.1,99.2,4.93,0.0
83,747.2,116.7,4.48,0.0
84,541.8,121.4,26.33,0.0
85,1363.9,105.9,25.04,0.0
86,746.3,97.3,3.19,0.0
87,746.5,150.3,3.19,0.0
88,749.0,268.1,6.75,0.0
89,751.9,280.2,10.23,7.0
90,751.5,260.2,10.26,0.0
91,749.9,256.2,8.98,0.0
92,748.2,239.5,6.43,0.0
93,745.9,243.1,5.24,0.0
94,743.0,239.9,3.18,0.0
95,741.3,294.8,1.55,0.0
96,0.0,316.2,1.53,0.0
97,0.0,327.8,1.52,0.0
98,0.0,343.7,1.52,0.0
99,0.0,347.2,1.52,0.0
100,0.0,339.9,1.53,0.0
101,586.0,271.6,8.52,0.0
102,746.9,316.6,12.74,0.0
103,749.0,216.1,6.01,0.0
104,748.1,46.6,1.56,0.0
105,0.0,37.5,0.0,0.0
106,747.2,37.3,1.56,0.0
107,746.5,80.1,2.32,0.0
108,746.4,43.2,2.03,0.0
109,746.1,35.9,1.54,0.0
110,0.0,42.0,0.0,0.0
111,745.4,48.3,1.55,0.0
112,1041.0,212.3,12.96,0.0
113,750.5,302.4,7.11,0.0
114,749.7,312.8,6.98,0.0
115,748.4,276.1,0.8,0.0
116,746.8,165.2,0.2,0.0
117,0.0,153.0,0.0,0.0
118,0.0,196.7,0.0,0.0
119,0.0,272.4,0.0,0.0
120,0.0,245.0,0.0,0.0
121,0.0,266.7,0.0,0.0
122,0.0,285.7,0.0,0.0
123,0.0,227.8,0.0,0.0
124,0.0,181.9,0.0,0.0
125,0.0,160.7,0.0,0.0
126,745.0,171.2,2.4,0.0
127,747.3,213.8,1.54,0.0
128,0.0,45.2,0.0,0.0
129,0.0,42.3,0.0,0.0
130,1278.4,48.9,23.81,0.0
131,494.8,72.0,23.49,0.0
132,745.9,60.6,8.21,0.0
133,0.0,54.8,0.0,0.0
134,0.0,55.5,0.0,0.0
135,0.0,81.4,0.0,0.0
136,747.7,255.1,0.18,0.0
137,749.9,297.5,0.3,0.0
138,0.0,230.7,0.0,0.0
139,0.0,222.9,0.0,0.0
140,0.0,211.4,0.0,0.0
141,0.0,193.7,0.0,0.0
142,0.0,205.5,0.0,0.0
143,0.0,141.5,0.0,0.0
144,0.0,131.2,0.0,0.0
145,0.0,135.9,0.0,0.0
146,0.0,119.7,0.01,0.0
147,1183.0,239.5,20.0,0.0
148,1152.3,420.6,22.5,0.0
149,1265.4,211.7,24.65,0.0
150,552.3,258.7,25.61,0.0
151,624.8,208.0,25.31,0.0
152,495.1,84.8,24.82,0.0
153,486.3,66.6,25.67,0.0
154,564.3,71.2,26.73,0.0
155,614.6,65.8,26.81,0.0
156,525.6,68.9,26.66,0.0
157,524.7,67.0,26.14,0.0
158,567.1,72.6,26.12,0.0
159,1246.5,160.6,28.56,0.0
160,541.5,434.6,35.09,12.0
161,790.4,365.4,59.72,7.5
162,543.4,402.2,34.12,0.0
163,682.2,307.4,32.32,0.0
164,1254.0,299.8,30.38,0.0
165,552.4,337.0,28.88,0.0
166,1024.2,319.0,27.66,0.0
167,538.4,319.0,26.85,0.0
168,521.8,396.6,26.26,0.0
169,1130.6,413.1,26.34,0.0
170,1130.1,407.3,26.36,0.0
171,1347.0,414.0,26.54,0.0
172,529.2,357.8,27.07,0.0
173,606.3,418.7,27.64,0.0
174,615.5,386.7,28.2,0.0
175,566.3,277.7,27.5,0.0
176,553.3,85.1,25.99,0.0
177,553.5,78.1,25.37,0.0
178,1303.2,80.9,25.5,0.0
179,1276.6,65.9,25.76,0.0
180,544.8,64.7,25.72,0.0
181,1360.7,87.9,25.27,0.0
182,1240.6,117.8,24.78,0.0
183,523.3,147.8,25.7,0.0
184,744.4,280.7,20.3,0.0
185,1259.2,250.0,30.81,0.0
186,1259.7,282.8,28.12,0.0
187,747.2,242.0,20.38,0.0
188,745.6,249.9,20.33,0.0
189,1159.0,322.6,20.26,0.0
190,0.0,239.3,1.52,0.0
191,0.0,269.3,0.0,0.0
192,0.0,203.6,0.0,0.0
193,0.0,270.5,0.0,0.0
194,0.0,304.2,0.0,0.0
195,0.0,270.0,0.0,0.0
196,0.0,168.9,0.0,0.0
197,0.0,158.8,0.0,0.0
198,746.1,244.4,1.54,0.0
199,10.1,184.7,0.93,0.0
200,0.0,73.5,0.0,0.0
201,0.0,27.7,0.0,0.0
202,0.0,38.9,1.54,0.0
203,1336.5,47.1,26.04,0.0
204,540.3,44.6,26.16,0.0
205,1336.3,28.7,25.8,0.0
206,487.8,27.6,23.87,0.0
207,1288.6,63.3,22.84,0.0
208,1252.8,191.1,27.28,0.0
209,529.6,333.8,34.26,6.4
210,529.3,205.8,29.7,0.0
211,558.3,200.0,26.59,0.0
212,1258.3,226.7,26.07,0.0
213,1028.4,257.3,25.41,0.0
214,0.0,281.7,1.53,0.0
215,0.0,351.5,1.53,0.0
216,0.0,390.4,1.52,0.0
217,0.0,412.9,1.52,0.0
218,0.0,461.6,1.52,0.0
219,0.0,405.7,1.52,0.0
220,0.0,411.6,1.52,0.0
221,0.0,376.9,1.53,0.0
222,1257.1,304.1,25.47,0.0
223,1260.5,226.3,23.58,0.0
224,1280.1,47.5,22.95,0.0
225,1278.9,32.1,23.17,0.0
226,493.9,53.7,25.49,0.0
227,531.5,53.2,26.07,0.0
228,555.9,57.8,26.38,0.0
229,530.6,50.5,25.68,0.0
230,1155.9,65.8,25.46,0.0
231,557.3,102.8,26.58,0.0
232,790.0,264.6,31.08,0.0
233,813.7,259.9,65.37,6.5
234,500.2,251.3,33.93,0.0
235,456.5,275.3,26.86,0.0
236,729.1,278.1,24.65,0.0
237,0.0,280.9,1.53,0.0
238,0.0,237.9,1.53,0.0
239,0.0,341.5,1.53,0.0
240,0.0,373.5,1.52,0.0
241,0.0,430.3,1.52,0.0
242,0.0,484.4,1.52,0.0
243,0.0,437.1,0.0,0.0
244,739.2,344.8,0.59,0.0
245,742.5,301.9,1.53,0.0
246,747.6,236.6,2.45,0.0
247,491.1,224.9,2.4,0.0
248,0.0,179.0,1.55,0.0
249,0.0,117.4,1.55,0.0
250,0.0,92.3,0.0,0.0
251,0.0,99.8,0.0,0.0
252,0.0,75.0,0.0,0.0
253,0.0,74.5,0.0,0.0
254,0.0,98.4,0.0,0.0
255,0.0,209.0,0.0,0.0
256,753.2,236.2,0.36,0.0
257,755.7,340.2,2.6,0.0
258,0.0,202.5,1.56,0.0
259,0.0,187.5,1.55,0.0
260,0.0,209.7,1.55,0.0
261,0.0,269.4,0.0,0.0
262,0.0,226.0,0.0,0.0
263,0.0,163.2,0.0,20.7
264,0.0,155.5,0.0,21.7
265,0.0,156.4,0.0,22.0
266,0.0,154.0,0.0,22.1
267,0.0,144.0,0.0,21.9
268,0.0,156.6,0.0,21.5
269,0.0,217.6,0.0,20.6
270,1174.6,225.3,22.93,19.3
271,1291.0,239.2,24.48,17.7
272,1290.3,101.0,23.38,21.3
273,1313.4,91.5,23.74,16.9
274,1176.0,82.3,23.35,19.1
275,1047.9,69.1,9.2,20.1
276,10.1,68.2,9.2,20.0
277,1047.4,82.0,9.2,20.2
278,10.1,76.3,8.49,23.1
279,1426.7,82.3,24.11,17.9
280,538.7,191.9,25.54,106.1
281,625.6,326.2,34.59,120.5
282,673.8,216.6,31.94,105.2
283,1473.8,256.9,25.84,108.1
284,1386.4,227.8,25.03,105.4
285,552.1,196.5,24.95,104.4
286,1050.2,192.1,24.78,104.3
287,616.6,254.6,25.25,123.7
288,1366.3,273.6,25.58,185.9
289,492.6,256.8,25.81,239.0
290,1225.3,252.5,25.99,233.6
291,1139.1,241.3,26.77,224.1
292,1277.6,237.6,28.33,185.2
293,608.3,285.9,32.59,249.4
294,724.6,373.7,38.42,273.8
295,532.0,210.1,31.35,227.0
296,1222.4,108.4,29.01,228.7
297,625.9,41.0,28.07,201.2
298,1373.3,29.2,28.16,214.3
299,595.3,37.6,28.14,259.8
300,547.6,33.3,27.75,256.6
301,561.1,56.4,27.59,171.6
302,615.8,56.2,27.57,190.8
303,1407.5,102.1,30.67,178.8
304,819.2,404.5,45.41,154.0
305,1352.1,454.6,73.97,105.3
306,1177.4,486.0,38.56,80.8
307,878.9,440.3,38.94,93.2
308,629.9,404.7,34.5,63.3
309,568.0,400.8,32.25,58.2
310,1229.4,429.7,28.38,46.0
311,559.8,410.8,27.37,46.7
312,1207.9,412.6,27.33,46.4
313,557.9,383.2,27.28,48.2
