,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,563.3,384.3,26.11,170.0
1,520.7,410.9,25.27,224.4
2,484.7,418.9,23.77,216.7
3,470.1,427.6,23.61,210.1
4,464.1,434.9,23.3,193.4
5,539.1,435.8,23.38,200.9
6,521.1,422.2,24.5,253.9
7,464.9,413.5,23.34,176.3
8,465.3,219.9,23.36,160.2
9,466.2,221.5,23.41,168.4
10,467.1,227.0,23.45,184.8
11,467.8,281.8,23.49,185.9
12,468.3,239.6,23.51,168.7
13,468.5,223.0,23.52,156.9
14,468.3,234.8,23.51,170.3
15,488.7,315.5,24.15,217.3
16,485.6,334.2,25.56,189.4
17,570.8,444.6,27.44,199.8
18,616.2,433.9,27.87,198.1
19,549.6,432.5,27.75,199.6
20,572.4,446.0,27.58,181.8
21,545.0,408.5,26.99,163.6
22,555.6,383.9,26.08,157.8
23,481.7,378.5,25.05,197.5
24,596.2,417.9,23.66,167.3
25,464.2,364.6,23.03,155.8
26,468.7,369.6,22.72,163.2
27,482.3,354.7,22.88,158.6
28,468.1,355.9,23.5,155.8
29,1134.2,365.9,24.11,178.5
30,1143.3,367.2,25.27,182.1
31,555.9,339.4,25.31,169.2
32,546.5,265.9,24.65,164.5
33,484.7,197.8,24.86,169.2
34,560.4,185.3,25.73,173.0
35,624.4,226.1,25.8,132.4
36,571.2,270.5,25.84,125.0
37,552.2,244.9,25.76,140.9
38,557.0,234.9,25.83,131.3
39,558.0,324.1,27.93,185.9
40,1185.7,391.1,29.97,219.2
41,601.6,461.6,34.05,259.7
42,552.3,460.3,37.09,273.3
43,1248.5,465.5,56.99,272.0
44,1256.5,475.0,35.61,273.5
45,1240.8,481.1,33.33,258.7
46,1303.4,466.9,30.53,250.6
47,552.5,467.9,28.8,256.7
48,605.6,478.5,27.78,220.7
49,519.6,474.9,27.7,244.5
50,549.0,465.6,27.65,263.8
51,564.0,472.5,27.63,264.4
52,559.8,475.5,27.64,239.3
53,560.6,476.2,27.68,229.2
54,554.3,466.0,28.72,261.6
55,525.6,455.6,29.87,232.0
56,575.0,427.2,28.46,204.4
57,561.7,373.7,29.1,215.7
58,557.2,384.6,30.0,218.4
59,557.5,387.5,30.06,219.7
60,529.2,385.5,29.14,211.9
61,571.3,418.1,28.2,169.0
62,559.9,381.3,28.72,214.3
63,1217.8,448.8,30.39,250.7
64,663.3,479.1,34.51,274.2
65,1221.5,577.4,40.14,295.2
66,1203.0,576.6,70.62,300.9
67,899.9,568.3,49.37,299.8
68,582.0,567.5,40.27,298.4
69,1248.9,525.1,38.96,274.4
70,582.1,546.5,35.69,272.5
71,1254.0,497.3,32.57,245.8
72,585.1,513.9,31.1,243.8
73,523.6,477.5,29.76,250.5
74,522.7,497.5,29.71,255.0
75,522.3,447.2,29.68,262.7
76,522.4,460.4,29.69,262.0
77,523.1,461.3,29.73,253.8
78,598.1,475.8,33.85,254.1
79,574.2,475.0,35.55,247.7
80,544.3,450.0,32.92,214.0
81,573.7,447.7,31.86,228.3
82,582.2,448.0,31.88,241.3
83,487.9,459.0,32.51,241.0
84,573.2,444.2,31.86,238.5
85,560.5,436.3,31.17,228.9
86,572.4,450.0,32.58,273.1
87,605.2,519.1,34.26,303.4
88,711.0,533.3,36.07,308.2
89,714.7,519.4,38.05,301.0
90,841.2,532.3,71.37,296.8
91,1331.8,525.6,41.2,294.0
92,1149.2,510.1,37.89,301.6
93,717.1,492.1,36.15,298.8
94,567.2,467.5,35.13,292.5
95,1423.0,446.4,30.94,273.5
96,524.2,449.6,29.6,286.1
97,522.4,456.0,29.48,313.9
98,521.4,455.2,28.99,315.3
99,1174.4,457.9,28.72,316.7
100,1178.9,458.8,29.15,323.0
101,1280.0,451.2,30.84,261.2
102,671.0,463.0,33.97,275.3
103,841.1,469.9,41.25,291.1
104,1210.9,445.7,34.69,288.1
105,555.4,387.9,30.72,252.6
106,547.3,371.1,30.49,252.7
107,556.8,373.9,30.5,259.5
108,615.6,385.7,30.26,259.0
109,545.3,334.9,30.02,257.3
110,529.3,368.1,30.03,271.3
111,1042.1,419.6,30.91,284.7
112,1205.5,458.0,33.65,287.2
113,776.1,464.1,36.67,295.2
114,621.7,465.4,42.1,282.7
115,578.7,463.4,39.85,287.0
116,1304.3,464.4,38.08,297.0
117,1293.4,467.8,36.39,302.5
118,1309.9,477.8,34.32,310.8
119,556.7,475.8,31.8,281.5
120,1292.6,447.1,28.85,276.7
121,560.3,442.8,28.43,294.4
122,553.4,435.9,28.38,302.5
123,552.9,433.9,28.35,317.3
124,552.8,447.2,28.35,300.8
125,549.3,431.6,29.24,288.8
126,791.2,410.2,35.09,279.6
127,822.8,409.0,36.25,274.6
128,1283.5,286.1,30.11,280.2
129,562.6,261.4,29.16,245.4
130,1307.7,258.4,29.2,230.6
131,543.7,263.9,29.17,232.5
132,617.8,304.1,28.8,254.4
133,561.1,300.1,28.76,256.6
134,1213.3,272.1,28.76,269.9
135,616.6,300.6,28.85,257.5
136,541.4,392.8,30.08,268.3
137,566.6,416.0,33.63,250.7
138,1476.7,402.0,34.33,241.4
139,1474.1,404.9,33.91,242.7
140,1204.7,413.5,32.23,252.3
141,544.9,423.8,30.52,263.6
142,1300.4,426.8,29.02,254.4
143,557.1,425.3,28.56,301.4
144,610.0,423.8,27.72,269.1
145,557.2,413.5,26.96,235.4
146,556.1,442.7,26.91,239.3
147,555.5,398.3,26.89,241.3
148,555.3,415.5,26.87,244.4
149,555.4,405.9,26.88,246.8
150,541.4,436.5,27.27,267.2
151,552.3,404.5,27.4,232.0
152,559.2,335.6,27.06,188.6
153,561.0,316.2,27.15,190.6
154,556.5,288.5,27.6,221.2
155,571.1,240.0,28.27,251.3
156,556.8,280.9,27.62,216.5
157,561.8,309.7,27.19,181.3
158,570.1,278.2,27.74,245.2
159,569.6,260.3,28.24,308.4
160,554.2,425.6,28.28,263.8
161,547.7,404.0,33.27,257.9
162,566.2,421.9,34.29,258.2
163,1262.1,396.0,33.86,248.3
164,1367.9,412.7,31.32,254.7
165,554.3,399.9,29.8,250.1
166,557.1,437.5,28.29,257.4
167,568.3,419.0,28.13,272.6
168,552.0,383.6,27.35,246.0
169,550.4,383.5,27.27,233.1
170,549.4,380.7,27.22,228.8
171,548.8,397.5,27.19,227.5
172,548.5,395.3,27.18,226.6
173,549.6,378.4,27.18,233.9
174,531.9,416.4,27.21,235.7
175,518.7,392.5,27.31,214.6
176,551.3,332.1,27.32,190.8
177,553.0,298.9,27.4,226.6
178,569.0,251.4,28.16,286.4
179,569.7,236.5,28.25,268.5
180,570.5,227.5,28.29,265.7
181,570.4,271.5,28.12,230.2
182,557.2,228.5,28.29,264.3
183,1022.6,389.0,29.29,278.0
184,544.8,461.5,30.37,284.1
185,655.4,485.5,35.18,274.4
186,715.8,494.7,55.25,265.1
187,702.3,497.8,36.85,266.0
188,1197.5,481.2,35.93,262.8
189,1359.0,506.7,34.08,260.8
190,558.3,499.2,30.97,260.7
191,556.3,461.8,28.82,264.4
192,567.5,484.4,28.07,285.8
193,566.0,465.1,27.99,291.0
194,564.7,473.3,27.95,290.0
195,565.0,471.7,27.94,292.2
196,565.1,465.7,27.95,300.1
197,552.4,464.6,27.99,252.6
198,1338.2,465.7,30.29,276.8
199,540.7,432.0,34.8,272.0
200,1235.1,382.4,32.25,252.5
201,570.4,333.7,32.06,256.2
202,570.6,315.7,32.35,253.8
203,566.9,334.2,31.8,251.2
204,1442.0,341.1,31.1,242.6
205,555.7,336.7,29.6,219.6
206,1283.2,358.2,30.01,238.2
207,569.1,347.4,32.33,265.6
208,1210.8,445.3,33.79,282.1
209,529.0,453.2,37.53,290.4
210,905.1,483.2,46.25,304.7
211,536.2,477.6,39.34,277.4
212,723.6,453.3,36.79,273.6
213,1349.8,455.0,33.21,262.1
214,541.3,434.7,30.01,269.8
215,571.5,449.1,28.27,267.0
216,559.5,445.2,27.45,268.3
217,557.5,446.0,27.16,266.5
218,547.8,445.0,27.08,259.8
219,1203.9,445.7,27.07,258.8
220,1009.3,442.0,27.25,271.8
221,533.0,453.5,27.95,273.1
222,521.7,438.9,29.65,259.0
223,605.7,429.1,32.76,242.9
224,588.1,392.5,30.58,263.6
225,560.0,353.9,28.98,259.5
226,561.7,352.4,28.99,255.4
227,575.7,341.4,28.49,227.0
228,574.9,346.5,28.42,217.3
229,574.4,375.0,28.4,207.2
230,574.2,379.0,28.38,204.2
231,540.9,405.1,29.76,256.3
232,556.9,434.7,30.76,252.0
233,527.3,450.6,35.43,258.5
234,848.7,475.0,45.23,269.8
235,1202.5,482.1,39.77,266.2
236,586.5,457.0,35.99,262.0
237,566.2,466.4,35.29,263.2
238,568.3,463.1,31.32,251.3
239,1295.1,452.8,28.76,257.5
240,567.6,461.4,28.03,233.5
241,565.8,455.4,27.95,275.3
242,564.9,454.4,27.9,276.4
243,564.6,458.0,27.88,287.8
244,564.6,460.7,27.88,291.7
245,1013.8,466.2,27.92,277.8
246,1198.6,467.8,30.18,280.1
247,1407.2,451.9,31.5,254.5
248,572.0,399.5,30.49,238.5
249,1195.0,410.8,29.89,247.6
250,556.1,394.8,30.49,266.8
251,548.7,395.2,30.59,270.3
252,545.0,398.7,30.41,279.0
253,561.0,423.0,29.08,264.4
254,1257.0,426.3,29.55,268.0
255,554.7,433.1,30.98,297.5
256,1348.0,466.6,32.58,296.2
257,563.4,477.4,34.89,302.1
258,718.5,467.8,36.34,290.7
259,692.0,470.0,35.01,287.5
260,605.5,473.4,34.28,284.9
261,557.0,446.5,31.1,269.4
262,560.6,464.0,28.89,271.6
263,570.6,459.9,28.18,264.7
264,568.0,450.5,26.79,240.6
265,557.3,449.2,26.7,221.5
266,556.3,438.9,26.57,229.4
267,560.1,438.3,26.46,226.4
268,1146.2,435.7,26.45,223.5
269,556.4,435.8,26.66,218.0
270,567.5,449.4,28.14,232.5
271,1269.2,448.4,29.0,249.1
272,528.2,440.7,29.37,257.6
273,562.2,442.0,29.13,256.8
274,1308.1,441.5,29.45,243.3
275,1309.0,441.5,29.47,248.9
276,590.3,426.0,29.48,249.9
277,576.9,392.2,28.6,223.9
278,573.6,383.8,28.6,219.5
279,1308.3,432.0,29.47,247.8
280,530.3,442.6,31.63,256.1
281,582.4,464.7,34.57,263.0
282,804.3,466.1,96.69,265.5
283,1266.1,466.2,69.39,272.1
284,564.4,468.4,34.33,271.1
285,1416.5,459.4,32.5,258.5
286,554.5,445.7,30.05,267.0
287,1295.4,457.1,28.61,270.7
288,568.2,456.9,28.12,313.4
289,566.3,452.0,28.03,318.0
290,565.3,454.3,27.98,320.6
291,564.8,460.0,27.95,315.8
292,564.7,457.2,27.95,290.9
293,551.8,452.1,27.96,291.5
294,567.1,467.3,28.12,243.0
295,566.0,461.5,31.46,239.9
296,596.1,419.3,31.27,221.6
297,561.4,398.4,29.08,202.4
298,571.9,370.2,30.35,242.3
299,528.0,361.2,30.01,205.1
300,561.0,397.8,29.07,201.0
301,574.0,421.1,28.46,195.9
302,554.4,408.8,28.92,248.1
303,477.5,419.2,29.99,249.0
304,588.2,458.8,33.35,255.6
305,550.4,468.4,37.39,260.7
306,885.8,472.5,71.96,262.3
307,559.1,470.0,37.45,257.1
308,802.2,458.9,37.38,254.3
309,585.2,450.8,35.75,252.1
310,578.0,457.4,32.8,233.0
311,574.8,442.4,30.62,221.9
312,1191.1,444.4,29.5,221.0
313,567.2,444.4,28.07,200.1
314,566.0,446.2,27.87,193.8
315,565.4,445.8,27.84,201.2
316,565.1,438.7,27.82,203.4
317,565.3,448.3,27.84,201.5
318,566.1,448.5,27.88,193.1
319,563.5,433.1,27.96,180.8
320,569.2,415.1,28.03,180.8
321,571.1,399.1,28.27,188.3
322,559.3,340.0,28.98,199.7
323,554.2,321.6,29.03,199.2
324,527.0,343.6,28.96,194.9
325,572.8,368.8,28.2,163.2
326,572.3,394.9,28.29,173.3
327,558.8,416.2,28.89,239.6
328,1302.9,442.3,31.21,237.6
329,698.0,445.9,35.55,262.2
330,1192.4,463.9,64.36,272.1
331,587.0,461.2,36.45,271.9
332,702.9,463.1,36.39,271.0
333,562.1,452.1,35.05,272.7
334,1285.3,460.7,33.12,256.5
335,1208.1,455.8,30.86,248.3
336,567.6,445.8,29.79,252.6
337,549.6,449.3,28.9,246.9
338,548.4,444.7,28.7,279.6
339,1264.5,440.2,28.67,275.7
340,1174.3,441.2,28.67,262.4
341,554.0,444.0,28.68,240.8
342,554.8,445.8,28.72,234.8
343,556.0,414.8,28.78,234.5
344,1306.5,379.3,27.59,175.9
345,558.1,359.6,27.68,185.7
346,1039.8,331.4,28.38,220.2
347,575.3,299.3,28.47,240.0
348,575.3,338.2,28.44,217.1
349,561.1,332.5,27.83,174.5
350,560.9,348.1,27.82,192.7
351,617.7,407.0,29.08,260.4
352,589.0,410.6,32.39,254.5
353,704.0,458.5,35.92,268.5
354,542.6,459.4,40.25,263.2
355,548.2,453.1,66.78,262.1
356,541.7,454.8,39.93,267.2
357,1192.6,453.0,36.55,268.2
358,1223.6,462.2,35.28,263.2
359,1317.7,466.8,32.34,253.5
360,542.4,451.2,29.48,250.3
361,524.0,449.7,29.39,267.0
362,523.2,444.1,29.35,246.6
363,522.8,444.6,29.33,261.9
364,560.0,451.0,29.57,258.4
365,1343.9,456.8,31.1,269.0
366,528.6,467.2,33.49,280.1
367,794.8,451.4,34.27,258.1
368,1236.5,381.7,30.28,235.6
369,562.1,362.4,30.56,244.3
370,486.7,352.1,31.03,256.3
371,533.3,388.3,32.38,252.4
372,562.9,356.0,31.58,257.7
373,1039.0,390.8,30.41,245.0
374,552.5,382.6,30.79,264.5
375,1191.5,395.9,31.6,270.7
376,600.4,447.4,33.78,267.4
377,573.5,460.6,36.51,271.3
378,556.6,493.9,44.19,262.8
379,620.2,460.1,36.93,257.1
380,1231.5,459.4,35.63,263.5
381,1241.5,446.4,32.52,241.9
382,555.7,425.1,30.27,248.7
383,605.9,446.7,28.99,286.9
384,555.5,447.6,27.52,236.2
385,548.8,443.0,27.26,224.7
386,558.0,443.3,27.21,226.4
387,547.2,446.2,27.18,221.4
388,557.2,450.7,27.17,226.7
389,552.3,453.4,27.35,243.9
390,522.6,446.7,28.76,270.5
391,1326.4,446.3,29.63,248.7
392,542.3,432.4,30.05,260.3
393,542.6,413.7,30.07,248.1
394,529.2,393.9,30.07,245.8
395,555.7,384.1,30.15,249.5
396,555.5,386.1,30.23,260.9
397,1031.7,409.2,29.94,267.2
398,543.5,399.4,29.56,277.1
399,529.0,409.4,29.72,270.8
400,556.7,422.4,30.93,268.9
401,606.0,467.3,33.99,261.0
402,1236.5,459.7,63.05,279.2
403,633.0,453.3,34.62,275.5
404,558.6,461.7,33.82,257.8
405,1321.4,431.6,31.38,254.2
406,527.0,443.3,29.0,272.1
407,1024.2,442.4,27.46,236.9
408,558.5,445.2,27.4,228.1
409,556.6,443.6,26.81,206.9
410,555.6,438.9,26.24,206.2
411,605.7,433.7,26.22,205.1
412,1007.5,427.9,26.21,205.0
413,544.6,450.4,27.2,221.5
414,562.4,453.7,27.91,212.7
415,567.0,432.9,28.13,180.4
416,573.8,396.3,28.25,178.4
417,559.8,334.5,27.75,178.7
418,560.1,346.1,27.77,183.4
419,560.4,342.6,27.78,185.5
420,560.4,351.3,27.78,178.5
421,560.3,331.0,27.78,163.4
422,560.4,346.8,27.78,176.0
423,574.8,418.1,28.45,219.9
424,529.2,458.5,32.67,243.1
425,578.3,443.0,35.39,269.4
426,700.3,510.8,68.47,276.0
427,718.2,502.0,39.43,275.1
428,666.9,484.2,36.94,274.6
429,1302.7,528.3,35.94,274.6
430,1321.2,482.8,33.86,261.7
431,551.6,515.4,29.92,255.1
432,555.5,483.0,28.28,257.0
433,555.3,520.8,28.19,252.3
434,554.4,500.9,28.15,264.5
435,554.1,521.9,28.13,263.5
436,554.2,510.8,28.34,264.7
437,1246.2,519.2,30.64,270.4
438,596.9,510.9,33.79,284.6
439,541.0,505.6,35.53,276.9
440,500.8,423.9,31.19,225.8
441,477.0,387.8,29.55,232.8
442,1544.8,412.0,29.23,241.1
443,537.3,417.5,29.22,240.5
444,1310.9,432.0,28.96,228.6
445,561.0,412.1,28.61,226.7
446,563.2,433.8,28.8,240.0
447,557.1,473.0,30.35,264.2
448,604.5,503.6,34.16,288.1
449,828.7,512.0,36.88,291.7
450,851.7,526.6,63.99,295.6
451,860.6,518.5,37.01,289.2
452,812.9,505.2,36.84,283.8
453,1525.1,504.2,34.7,282.5
454,579.0,471.6,31.27,252.8
455,1339.8,468.3,29.21,249.1
456,1379.7,471.6,28.32,252.1
457,547.8,468.1,28.23,249.7
458,553.5,464.6,28.18,270.6
459,550.5,473.4,28.15,282.3
460,552.8,470.3,28.14,278.1
461,553.5,477.6,28.18,250.5
462,555.8,476.1,28.29,246.9
463,560.0,451.3,29.01,221.2
464,562.2,412.6,28.62,212.5
465,562.5,410.5,28.63,210.6
466,562.7,417.6,29.15,209.0
467,529.5,401.2,29.89,210.6
468,562.8,420.6,28.65,207.1
469,562.5,418.6,28.63,212.4
470,562.3,415.6,28.62,214.7
471,542.1,450.1,32.22,248.4
472,576.5,491.7,35.57,282.6
473,1200.4,522.3,39.36,284.3
474,1305.6,532.0,72.7,292.3
475,1247.7,530.3,39.91,294.7
476,824.1,517.8,39.2,295.2
477,545.1,514.1,36.9,295.2
478,1293.3,481.4,35.92,301.7
479,1215.2,480.5,33.38,287.9
480,1206.6,463.3,30.24,290.0
481,582.0,436.2,30.12,323.0
482,581.0,445.3,30.06,338.1
483,580.4,448.6,30.03,353.9
484,580.1,453.2,30.01,356.4
485,580.3,450.1,30.02,355.8
486,581.1,449.1,30.07,341.5
487,1359.2,485.0,30.15,309.0
488,566.0,451.7,31.46,297.5
489,492.4,458.6,33.78,291.9
490,1431.7,461.9,35.61,289.4
491,1377.3,448.2,35.69,286.9
492,1474.8,436.3,35.73,283.9
493,1246.1,405.7,34.9,280.0
494,1212.8,417.3,34.18,274.7
495,1365.0,440.0,34.37,294.7
496,1223.4,496.0,35.4,289.2
497,546.0,497.0,35.91,288.6
498,1273.7,542.6,70.85,290.6
499,545.5,497.1,37.14,287.7
500,579.8,477.6,35.81,284.7
501,1436.0,491.1,35.22,287.3
502,1220.6,486.2,33.83,275.6
503,1259.5,473.8,31.25,270.4
504,539.0,471.6,28.88,258.3
505,555.8,456.3,28.55,287.3
506,610.2,468.1,28.49,290.3
507,609.6,467.5,28.46,292.6
508,609.3,468.0,28.45,302.9
509,554.2,461.6,28.46,307.8
