,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,561.5,603.8,29.1,284.7
1,479.6,655.4,27.05,291.4
2,485.9,658.2,25.92,293.8
3,487.9,664.0,25.87,298.5
4,488.7,657.5,25.99,301.0
5,545.0,621.1,26.56,311.9
6,527.7,624.8,28.25,326.3
7,491.7,493.9,26.25,235.3
8,474.8,96.2,24.5,145.4
9,491.9,73.4,24.0,140.5
10,477.3,93.6,24.18,145.3
11,487.5,102.2,24.32,148.0
12,474.1,90.6,24.33,150.1
13,470.2,72.4,24.11,155.6
14,476.6,50.3,24.09,155.2
15,485.5,76.6,24.73,184.9
16,484.3,406.4,28.77,269.0
17,532.5,684.7,30.69,329.8
18,1099.8,654.0,30.85,286.2
19,543.8,673.3,30.82,296.5
20,488.3,687.9,30.54,288.3
21,539.0,710.2,29.86,271.8
22,549.4,741.6,28.86,272.0
23,485.9,680.0,27.21,264.0
24,592.5,644.1,25.78,265.1
25,477.2,643.3,24.97,258.7
26,487.2,640.3,25.03,259.9
27,484.0,666.2,26.01,265.3
28,482.7,682.7,27.4,283.8
29,1148.1,734.2,28.72,300.2
30,1158.9,633.2,30.4,304.5
31,562.9,346.8,30.14,234.6
32,552.5,195.3,28.13,160.0
33,488.5,47.9,27.94,151.5
34,553.5,40.5,28.5,160.5
35,624.1,39.1,28.73,163.6
36,569.5,33.9,28.7,160.4
37,549.9,32.7,28.56,151.3
38,554.9,35.8,28.66,146.4
39,557.5,48.5,30.51,203.5
40,1373.3,423.6,34.91,421.3
41,531.7,616.3,39.15,430.2
42,1247.3,570.8,43.19,495.0
43,1251.1,646.2,65.95,465.8
44,1258.7,629.2,41.38,495.3
45,1242.8,761.1,38.37,465.7
46,1307.1,815.0,35.73,393.7
47,556.1,780.7,33.83,369.9
48,612.7,800.9,32.8,368.2
49,527.8,777.5,32.67,357.7
50,559.5,775.8,32.73,371.7
51,1181.0,776.8,32.99,363.5
52,534.4,727.5,34.07,382.6
53,1215.1,705.5,37.32,420.3
54,1233.0,569.2,183.85,456.0
55,1301.9,466.9,40.54,382.1
56,1207.0,82.1,35.24,231.6
57,501.5,46.0,33.85,219.5
58,503.1,47.3,33.87,224.1
59,542.7,47.5,34.25,233.5
60,485.3,40.9,33.48,255.6
61,558.1,37.6,32.33,243.6
62,563.4,48.2,32.05,245.6
63,1229.9,62.0,34.2,325.3
64,674.0,533.1,39.99,459.3
65,1241.1,771.5,245.77,501.2
66,1216.5,730.7,305.09,527.2
67,909.5,745.6,232.57,516.6
68,587.6,751.1,114.45,510.6
69,812.7,655.0,42.14,510.0
70,592.3,663.4,40.0,483.1
71,1270.2,774.6,38.33,481.1
72,595.7,847.1,36.78,430.5
73,1235.7,844.2,36.56,429.5
74,1051.7,825.9,36.62,432.2
75,1319.9,766.3,37.17,448.2
76,1276.0,683.7,188.65,437.2
77,705.3,669.1,549.02,483.5
78,1002.5,746.0,681.18,490.6
79,659.7,584.7,292.07,429.9
80,552.5,158.7,38.69,330.5
81,1204.7,69.8,35.78,282.8
82,1207.4,57.8,34.96,276.9
83,487.5,50.4,34.13,266.7
84,474.4,47.8,32.64,251.9
85,573.1,85.8,31.49,226.4
86,602.7,83.4,30.97,220.0
87,490.5,71.3,32.25,303.2
88,1290.8,509.1,36.28,430.9
89,1227.0,613.8,39.94,459.7
90,842.9,643.7,70.32,491.2
91,1334.5,581.5,41.44,471.6
92,1258.5,604.5,39.84,426.9
93,1228.7,646.7,38.82,446.6
94,1414.4,849.4,37.21,434.1
95,1428.0,785.2,35.33,409.0
96,527.5,793.4,33.97,376.8
97,1330.6,785.3,33.72,374.7
98,560.0,788.2,33.73,368.0
99,1191.9,784.8,33.86,343.5
100,1201.6,711.6,34.7,334.1
101,1312.4,729.4,36.95,386.1
102,1215.4,743.7,52.42,375.8
103,852.8,591.3,82.87,337.5
104,1216.3,187.3,36.68,212.7
105,1211.2,59.4,32.55,152.9
106,1255.8,95.5,31.59,156.9
107,552.3,92.7,31.17,159.3
108,544.9,86.6,30.66,146.7
109,1090.9,67.7,30.17,124.1
110,1032.8,80.0,29.91,120.3
111,539.0,87.7,30.23,190.9
112,1201.1,457.0,33.42,366.4
113,611.1,702.3,37.48,395.7
114,618.3,581.1,40.6,382.8
115,1615.6,589.7,39.11,383.2
116,1298.9,673.1,37.59,386.7
117,536.2,781.4,36.44,363.6
118,1257.7,768.3,34.91,371.0
119,1200.8,789.0,33.42,378.0
120,577.9,776.6,32.47,348.1
121,578.0,758.5,32.15,306.1
122,578.7,780.2,32.19,302.0
123,621.8,808.2,32.26,294.3
124,538.9,782.0,33.29,287.7
125,542.8,701.0,37.15,316.0
126,562.5,674.9,44.43,315.0
127,833.9,500.4,42.07,277.9
128,1287.0,198.6,32.88,144.0
129,542.1,95.4,30.54,110.4
130,1021.9,6.8,30.11,92.2
131,538.4,9.9,29.76,89.3
132,611.3,24.3,29.36,79.6
133,536.4,41.0,29.15,72.3
134,1199.6,28.0,28.75,64.4
135,610.3,68.3,29.31,101.2
136,1266.8,359.5,32.21,318.5
137,1367.3,553.8,35.44,324.3
138,538.0,570.9,37.26,354.8
139,1179.7,612.7,34.86,382.7
140,1194.2,668.2,33.99,371.9
141,1252.2,670.7,32.96,351.2
142,538.9,745.6,31.7,284.3
143,1165.9,723.1,30.52,230.4
144,476.0,727.4,29.76,202.5
145,1258.1,692.6,29.35,207.6
146,1144.8,691.0,29.34,209.0
147,1077.8,682.9,29.62,212.7
148,476.0,713.7,29.89,213.2
149,1208.2,729.8,30.38,228.5
150,547.0,795.8,31.37,252.2
151,551.8,551.0,31.35,229.5
152,1090.1,235.8,29.34,126.5
153,1254.1,108.1,29.15,104.6
154,1019.9,77.5,29.15,82.4
155,609.9,61.6,29.15,82.2
156,608.9,84.4,28.98,96.5
157,528.4,95.5,28.5,89.5
158,565.9,78.7,28.52,76.2
159,1015.0,68.8,29.07,108.9
160,552.5,456.8,31.77,234.4
161,1252.7,558.2,37.27,308.2
162,561.3,574.5,37.25,320.4
163,1250.8,572.1,36.79,318.8
164,1355.8,635.8,33.93,330.0
165,549.2,704.1,32.28,287.6
166,603.0,744.6,30.83,234.6
167,604.8,654.9,29.88,188.9
168,1017.6,689.5,29.35,193.6
169,534.5,702.0,29.15,184.4
170,1235.6,687.3,29.02,183.8
171,524.8,672.8,29.15,197.5
172,540.9,664.5,29.4,204.2
173,1233.6,694.5,29.83,212.6
174,1204.3,749.7,30.7,229.8
175,521.2,552.2,30.6,193.6
176,1037.8,172.4,29.54,101.0
177,609.3,38.9,29.19,92.3
178,1129.5,37.4,29.15,97.3
179,608.2,22.5,29.13,99.5
180,1015.0,50.1,29.13,106.8
181,1014.4,88.7,29.1,109.3
182,534.0,79.6,29.1,117.3
183,1015.8,167.6,30.19,148.0
184,526.8,567.9,32.99,349.0
185,536.4,654.1,37.45,322.8
186,530.6,580.7,56.42,321.4
187,524.3,656.7,38.53,328.0
188,1183.9,725.5,34.71,334.3
189,1175.2,737.3,33.13,328.2
190,1098.9,714.2,31.52,284.2
191,1096.2,792.1,30.35,269.1
192,1268.6,726.1,30.17,236.6
193,590.3,748.4,30.08,261.1
194,472.2,758.4,30.09,265.8
195,1197.8,730.2,30.26,245.9
196,1169.7,779.5,30.77,292.3
197,547.2,757.6,32.62,369.9
198,537.8,707.1,34.96,357.4
199,541.4,626.2,37.83,346.3
200,1257.0,522.4,35.0,331.3
201,1287.9,208.1,34.16,315.8
202,526.0,138.8,34.17,316.2
203,655.0,97.8,34.17,304.3
204,496.9,101.1,34.16,320.7
205,551.2,106.3,33.5,317.7
206,1279.8,94.6,33.08,330.5
207,541.2,242.0,33.87,344.6
208,1214.4,587.3,35.37,339.9
209,568.6,693.9,39.93,337.4
210,900.1,628.7,48.1,334.6
211,532.4,663.8,40.18,331.7
212,526.5,723.0,35.82,351.6
213,1336.2,820.3,34.03,356.2
214,1272.4,694.7,32.07,317.2
215,476.6,806.9,31.01,285.9
216,528.6,694.3,30.38,265.6
217,1436.1,675.6,29.99,246.3
218,538.1,679.4,29.97,242.4
219,1207.7,678.4,30.26,253.6
220,1016.7,798.3,31.27,285.3
221,1278.9,795.4,33.0,357.8
222,541.3,699.4,35.2,359.5
223,607.4,620.7,36.64,308.3
224,488.2,259.4,33.35,177.2
225,557.4,104.1,31.27,141.6
226,609.8,92.8,30.9,133.6
227,556.2,101.1,30.74,133.9
228,549.5,115.4,30.43,121.3
229,1040.0,121.2,29.83,104.0
230,537.2,75.4,29.81,109.9
231,1274.7,192.7,31.44,181.4
232,1355.2,618.9,34.51,360.0
233,578.8,601.1,38.38,334.2
234,842.2,699.5,49.24,315.6
235,1193.5,640.7,43.66,320.6
236,581.6,721.4,38.63,317.4
237,1397.6,740.7,35.28,353.2
238,543.7,792.5,33.04,347.0
239,552.7,763.0,31.63,298.9
240,1024.3,792.4,30.81,288.2
241,1012.9,770.7,30.36,269.8
242,1197.1,796.2,30.28,266.2
243,1184.4,776.5,30.36,272.5
244,1133.1,790.2,30.87,308.9
245,1202.4,758.6,32.38,345.3
246,1211.1,793.1,34.52,363.6
247,1283.7,667.5,35.32,344.7
248,1177.9,684.6,34.51,338.0
249,533.1,562.7,33.78,313.9
250,554.5,469.7,33.37,316.3
251,1276.6,412.7,33.02,310.8
